source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,_designation_reason,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,明治屋京橋ビル,,,,,,中央区,13102,区指定文化財,建造物,municipal,,35.677355,139.770138,building_direct,building_candidate_point,municipal,区指定文化財,建造物,,explicit_municipal_keyword,municipal,区市町村,designated,指定,tangible,有形文化財,建造物,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,日本橋魚市場絵図面,,,,,,中央区,13102,区指定文化財,古文書,municipal,,35.666487,139.771,movable,representative_point,municipal,区指定文化財,古文書,,explicit_municipal_keyword,municipal,区市町村,designated,指定,tangible,有形文化財,古文書,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,寛正三年板碑,,,,,,中央区,13102,区指定文化財,区指定文化財,municipal,,35.673688,139.7756,point,representative_point,municipal,区指定文化財,,,explicit_municipal_keyword,municipal,区市町村,designated,指定,unknown,未判定,区指定文化財,low
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,江戸三座入場券,,,,,,中央区,13102,区指定文化財,考古資料,municipal,,35.673688,139.7756,movable,representative_point,municipal,区指定文化財,考古資料,,explicit_municipal_keyword,municipal,区市町村,designated,指定,tangible,有形文化財,考古資料,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,佃島沽券絵図 控,,,,,,中央区,13102,区指定文化財,古文書,municipal,,35.666487,139.771,movable,representative_point,municipal,区指定文化財,古文書,,explicit_municipal_keyword,municipal,区市町村,designated,指定,tangible,有形文化財,古文書,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,日本橋野村ビルディング旧館,,,,,,中央区,13102,区指定文化財,建造物,municipal,,35.683647,139.774858,building_direct,building_candidate_point,municipal,区指定文化財,建造物,,explicit_municipal_keyword,municipal,区市町村,designated,指定,tangible,有形文化財,建造物,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,佃住吉講の獅子頭(龍虎・黒駒),,,,,,中央区,13102,区指定文化財,区指定文化財,municipal,,35.66781,139.782439,point,representative_point,municipal,区指定文化財,,,explicit_municipal_keyword,municipal,区市町村,designated,指定,unknown,未判定,区指定文化財,low
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,住吉神社水盤舎,,,,,,中央区,13102,区民有形文化財,建造物,ambiguous,,35.667974,139.783399,building_direct,building_candidate_point,ambiguous,区民有形文化財,建造物,,no_explicit_designation_level,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,南高橋,,,,,,中央区,13102,区民有形文化財,建造物,ambiguous,,35.676922,139.779886,building_direct,building_candidate_point,ambiguous,区民有形文化財,建造物,,no_explicit_designation_level,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,medium
municipal_source,中央区,文化財一覧,131024000000.0,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,13Tokyo/raw/municipal/13102/data.csv,小網神社社殿及び神楽殿 附 棟札・造営関係資料,,,,,,中央区,13102,区民有形文化財,建造物,ambiguous,,35.684121,139.780455,building_direct,building_candidate_point,ambiguous,区民有形文化財,建造物,,no_explicit_designation_level,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,medium
