source_level,source_authority,source_dataset,source_record_id,source_url,source_file,name,name_kana,place_name,address_detail,owner,address,municipality,municipality_code,category,type,designation,designation_date,latitude,longitude,entity_class,geometry_role,designation_level,raw_category,raw_type,raw_designation,_designation_reason,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,classification_confidence
municipal_source,新宿区,新宿区の文化財一覧,13104:0,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,市谷亀岡八幡宮の銅鳥居,,,,,東京都新宿区市谷八幡町15,新宿区,13104,,,ambiguous,,35.69249,139.73428,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:1,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,早稲田大学 坪内博士記念演劇博物館,,,,,東京都新宿区西早稲田一丁目6,新宿区,13104,,,ambiguous,,35.70923,139.71909,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:2,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,浄栄寺の山門「甘露門」,,,,,東京都新宿区市谷薬王寺町27,新宿区,13104,,,ambiguous,,35.697178,139.724597,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:3,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,幸国寺の山門,,,,,東京都新宿区原町2-20,新宿区,13104,,,ambiguous,,35.700149,139.72423,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:4,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,中井御霊神社の本殿・幣殿・拝殿,,,,,東京都新宿区中井2-29-16,新宿区,13104,,,ambiguous,,35.716277,139.680002,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:5,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,亮朝院本堂,,,,,東京都新宿区西早稲田3-16-24,新宿区,13104,,,ambiguous,,35.712031,139.71366,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:6,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,亮朝院七面堂,,,,,東京都新宿区西早稲田3-16-24,新宿区,13104,,,ambiguous,,35.712109,139.713789,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:7,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,永心寺本堂,,,,,東京都新宿区須賀町11,新宿区,13104,,,ambiguous,,35.683887,139.722476,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:8,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,永心寺山門,,,,,東京都新宿区須賀町11,新宿区,13104,,,ambiguous,,35.684173,139.722562,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
municipal_source,新宿区,新宿区の文化財一覧,13104:9,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,13Tokyo/raw/municipal/13104/data.csv,筑土八幡神社の石造鳥居,,,,,東京都新宿区筑土八幡町2-1,新宿区,13104,,,ambiguous,,35.70395,139.74054,point,representative_point,ambiguous,,,,no_explicit_designation_level,unknown,不明,unknown,不明,unknown,未判定,,low
