museum_id,building_gml_id,action,building_role,notes,reviewer,reviewed_at
"MUS-f977a0cd4027","bldg_762110af-3df7-4ba9-b243-362fed98eae0","confirm","primary","本館。公式サイトマップ","","2026-09-08T13:05:02.400Z"
"MUS-a35792eef1c2","bldg_67b41620-3684-428a-b313-dd3f7def1d55","confirm","primary","GoogleMap目視","","2026-09-08T13:05:23.085Z"
"MUS-bc6384c2484f","bldg_1e2b4f17-b19c-4593-aa23-03c7e3b11efe","confirm","primary","敷地内畜舎。資料館、管理事務所はポリゴンなし? 公式サイトマップ","","2026-09-08T13:07:22.733Z"
"MUS-ae6d2973f2dc","bldg_10017826-3c5d-4396-b236-0b48633ccfd0","confirm","primary","敷地内畜舎。管理事務所はポリゴンなし? 公式サイトマップ","","2026-09-08T13:08:38.118Z"
"MUS-e35c950a5609","bldg_2b516ff7-3e9d-421c-927d-430186dacb76","confirm","primary","GoogleMap目視","","2026-09-08T13:09:07.099Z"
"MUS-f8f5469192a7","bldg_e175e853-906a-4bfc-a928-66e945cd3a36","confirm","primary","建物名称","","2026-09-08T13:10:16.317Z"
"MUS-9807faa03bcb","bldg_2032d2e1-5d27-48cd-bd4d-fd169d101e02","confirm","primary","サービスセンター。園内マップ（PDF）","","2026-09-08T13:12:27.502Z"
"MUS-5c466266da77","bldg_77e7c234-99e0-4672-b54d-c63e5e0220c9","confirm","primary","公式サイト","","2026-09-08T13:12:42.134Z"
"MUS-1f5d80562d15","bldg_040cdc2e-92f1-49f7-bb44-48544dd59259","confirm","primary","公式サイト","","2026-09-08T13:12:58.116Z"
"MUS-987f00e0bdd9","bldg_b2b87d26-3c84-4ef7-9fec-d01f7cff810e","confirm","primary","公式サイト","","2026-09-08T13:14:07.767Z"
"MUS-7ac45ed811fa","bldg_9c6b7fd8-b716-49bf-88d5-da8d62eaa47f","confirm","primary","公式サイト","","2026-09-08T13:14:32.949Z"
"MUS-a6d4544423a3","bldg_56232500-f622-497e-bbf3-ae3fb69b2eb5","confirm","primary","GoogleMap目視","","2026-09-08T13:15:21.185Z"
