museum_id,facility_name,municipality_code,municipality_name,address_raw,address_normalized,postal_code,latitude,longitude,location_type,address_source_url,source_authority,extraction_method,geocoder,geocode_score,match_level,coordinate_level,coordinate_use,review_status,review_reason,retrieved_at,content_sha256,notes
MUS-005aa6852919,昭和女子大学光葉博物館,13112,世田谷区,東京都世田谷区太子堂1-7-57 7号館1階,東京都世田谷区太子堂1-7-577号館1階,154-8533,35.643959,139.676041,facility_location,https://museum.swu.ac.jp/about/facilities.html,facility_official,verified_override,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,公式施設案内で所在地を確認
MUS-014a7d8b2bb6,中近東文化センター付属博物館,13204,三鷹市,東京都三鷹市大沢3-10-31,東京都三鷹市大沢3-10-31,181-0015,35.686474,139.527481,facility_location,https://www.meccj.or.jp/,facility_or_public_official,html_text,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,f577a79ea9918e2d659b67443ff1d1777dd31c6e5e04c2f75805bdd5fde77351,address_score=90
MUS-02dd7815a999,葛飾区郷土と天文の博物館,13122,葛飾区,東京都葛飾区白鳥3-25-1,東京都葛飾区白鳥3-25-1,,35.752853,139.842941,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-02dd899629c7,印刷博物館,13105,文京区,東京都文京区水道1丁目3番3号 トッパン小石川ビル,東京都文京区水道1丁目3番3号トッパン小石川ビル,,35.708481,139.741623,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-030af495c004,板橋区立教育科学館,13119,板橋区,東京都板橋区常盤台4-14-1,東京都板橋区常盤台4-14-1,,35.76347,139.679611,facility_location,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-03d2e8f2282b,共立女子大学博物館,13101,千代田区,東京都千代田区一ツ橋2-6-1 共立女子学園2号館B1F,東京都千代田区一ツ橋2-6-1共立女子学園2号館B1F,101-0003,35.694248,139.756546,facility_location,https://www.kyoritsu-wu.ac.jp/muse/access/,facility_official,verified_override,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,公式アクセスページで所在地を確認
MUS-04eeeab89ba2,増上寺宝物展示室,13103,港区,東京都港区芝公園4-7-35 大殿地下1階,東京都港区芝公園4-7-35大殿地下1階,,35.657249,139.748413,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-05085b9ba4aa,靖國神社遊就館,13101,千代田区,東京都千代田区九段北3-1-1,東京都千代田区九段北3-1-1,102-8246,35.694405,139.742813,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/20.php,chiyoda_city_official_museum_network,verified_override,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,千代田区公式参加館ページで所在地を確認
MUS-0689fa503e02,くにたち郷土文化館,13215,国立市,東京都国立市谷保6231,東京都国立市谷保6231,186-0011,35.680332,139.439835,facility_location,https://kuzaidan.or.jp/province/access/,public_facility_official,verified_override,digital_agency_abr,1,parcel,machiaza,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,公式アクセスページで所在地を確認
MUS-06aa0bb52c59,刀剣博物館,13107,墨田区,東京都墨田区横網1-12-9,東京都墨田区横網1-12-9,130-0015,35.699043,139.793488,facility_location,https://www.touken.or.jp/museum/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,5cc76b74f8d34d3538dbbb052cf630e8ebd2af4976d9b6801ad6c154206bc71c,address_score=115
MUS-0815610ea799,すみだ水族館,13107,墨田区,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ5F,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ5F,,35.710083,139.808609,facility_location,https://www.jaza.jp/about-jaza/structure/list-aquarium,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-0babb4eddce6,地下鉄博物館,13123,江戸川区,東京都江戸川区東葛西6-3-1,東京都江戸川区東葛西6-3-1,,35.663574,139.873291,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-0bfe732291e4,多摩六都科学館,13229,西東京市,東京都西東京市芝久保町5-10-64,東京都西東京市芝久保町5-10-64,,35.734745,139.522202,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-0c8c7acccb98,早稲田大学會津八一記念博物館,13104,新宿区,東京都新宿区西早稲田1-6-1 早稲田キャンパス２号館,東京都新宿区西早稲田1-6-1早稲田キャンパス２号館,,35.708897,139.718689,facility_location,https://www.waseda.jp/culture/aizu-museum/access/,facility_or_public_official,html_text,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,95a4917cbe439fe893b4864a156598c4391dc208270657219c98d1ea155f64e0,address_score=115
MUS-0d0097806be0,郵政博物館,13107,墨田区,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ9F,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ9F,,35.710083,139.808609,facility_location,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-0d0261f2e923,横山大観記念館,13106,台東区,東京都台東区池之端1-4-24,東京都台東区池之端1-4-24,110-0008,35.712151,139.768448,facility_location,https://taikan.tokyo/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,52143473eb6e1935ca7d394abefdb4d85af45ceb64c3a5d0039795b4b2d40757,address_score=115
MUS-0e6f5377989f,日本大学芸術学部芸術資料館,13120,練馬区,東京都練馬区旭丘2-42-1,東京都練馬区旭丘2-42-1,176-8525,35.736824,139.67627,facility_location,https://www.art.nihon-u.ac.jp/facility/attached/archives/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,287734e5afa5b38d0b656e7b3ea56fe2633b6c9444cde60f4a81aa93490cd174,address_score=100
MUS-10239dac0fd8,弥生美術館,13105,文京区,東京都文京区弥生2丁目4番3号,東京都文京区弥生2丁目4番3号,,35.714813,139.763306,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-13a3749db7b4,府中市美術館,13206,府中市,東京都府中市浅間町1丁目3番地（都立府中の森公園内）,東京都府中市浅間町1丁目3番地（都立府中の森公園内）,183-0001,35.668922,139.477661,facility_location,https://www.city.fuchu.tokyo.jp/shisetu/komyunite/gekijo/bijyutukan.html,fuchu_city_official,verified_override,digital_agency_abr,1,machiaza_detail,city,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,府中市公式施設案内で所在地を確認 2026-09-06
MUS-15e07137b701,公益社団法人 全国市有物件災害共済会 防災専門図書館,13101,千代田区,東京都 千代田区 平河町 2-4-1 日本都市センター会館8階,東京都千代田区平河町2-4-1日本都市センター会館8階,102-0093,35.681808,139.738815,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/36.php,facility_or_public_official,html_text,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,7c51f5aa7cd04db69e521bc637b2465ef85396c2e3a57ee06e7aed3ea03bd43a,address_score=90
MUS-1907164b27f6,出光興産ヒューマンギャラリー,13103,港区,東京都港区北青山1-3-6 SIビル青山7階,東京都港区北青山1-3-6SIビル青山7階,,35.672512,139.722733,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-19c7ed10458b,国立科学博物館,13106,台東区,東京都台東区上野公園7-20,東京都台東区上野公園7-20,,35.716393,139.776062,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-1ac843667114,ポーラ文化研究所 化粧文化ギャラリー,13103,港区,東京都港区南青山2-5-17 ポーラ青山ビルディング1階,東京都港区南青山2-5-17ポーラ青山ビルディング1階,,35.671913,139.723022,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-1b0f2fc471fc,ちひろ美術館・東京,13120,練馬区,東京都練馬区下石神井4-7-2,東京都練馬区下石神井4-7-2,177-0042,35.728207,139.605164,facility_location,https://chihiro.jp/tokyo/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,9e7ac3e33088156222e437332c65092f44eaa92ef38644e3404a46fb2255536d,address_score=125
MUS-1b16e3f81318,学習院大学史料館,13116,豊島区,東京都豊島区目白1-5-1,東京都豊島区目白1-5-1,171-8588,35.721264,139.707245,facility_location,https://www.museum.univ.gakushuin.ac.jp/information/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,528cdd14e6e70520619697b52443c5ea519c4ed9070be249cf5704726f3ed59d,address_score=90
MUS-1b51243fd2bf,文京区立森鴎外記念館,13105,文京区,東京都文京区千駄木1丁目23番4号,東京都文京区千駄木1丁目23番4号,,35.725002,139.760651,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-1c5d7eae0e01,明治神宮宝物殿（分館 明治神宮ミュージアム）,13113,渋谷区,東京都渋谷区代々木神園町1-1,東京都渋谷区代々木神園町1-1,151-8557,35.669868,139.702255,facility_location,https://www.meijijingu.or.jp/museum/houmotsuden/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,3b55b5fdb178e9d42a38a1a02be65c7a510435fb1301fa58a1d95144ac4ff6f4,address_score=90
MUS-1cfcc3421af0,東京都江戸東京博物館（分館 江戸東京たてもの園）,13107,墨田区,東京都墨田区横網1-4-1,東京都墨田区横網1-4-1,130-0015,35.696342,139.793961,facility_location,https://www.edo-tokyo-museum.or.jp/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,157c425510d568c0b209cfd55c0e5c9359d43e6811e34d916cd0ec9575f88532,address_score=90
MUS-1d56d16cf09a,旧岩崎邸庭園,13106,台東区,東京都台東区池之端1丁目3番45号,東京都台東区池之端1丁目3番45号,,35.709312,139.768509,facility_location,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,,
MUS-1f008620d301,天理ギャラリー,13101,千代田区,東京都千代田区神田錦町1-9 東京天理ビル9F,東京都千代田区神田錦町1-9東京天理ビル9F,101-0054,35.694004,139.753632,facility_location,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/27.php,facility_or_public_official,html_text,digital_agency_abr,1,machiaza_detail,city,plateau_query,accepted,,2026-09-06T16:34:45+00:00,6bcd2a0ac043a6825658ca9e66b08ea672d40066a8c7f78bb8047b2bfa480177,address_score=90
MUS-1f4836b8c1e3,齋田記念館,13112,世田谷区,東京都世田谷区代田3-23-35,東京都世田谷区代田3-23-35,155-0033,35.65332,139.660065,facility_location,https://saita-museum.jp/,facility_or_public_official,html_text,digital_agency_abr,1,residential_detail,residential_detail,building_candidate,accepted,,2026-09-06T16:34:45+00:00,2dac2ba112791c6eda38510a4f2d13a243a6d1faa32ccee1dabbd9a44d7788c3,address_score=115
MUS-1f5d80562d15,葛西臨海水族園,13123,江戸川区,東京都江戸川区臨海町6-2-3,東京都江戸川区臨海町6-2-3,,35.640774,139.855331,facility_location,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
MUS-1fd7819fd0ef,クロステックミュージアム,13103,港区,東京都港区東新橋1-9-3,東京都港区東新橋1-9-3,,35.662498,139.760895,facility_location,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,digital_agency_abr,1,residential_block,residential_block,plateau_query,accepted,,2026-09-06T16:34:45+00:00,,
