record_id,canonical_facility_id,source_id,facility_name_raw,facility_name_normalized,municipality_code,municipality_name,match_key,match_status,matched_record_id,review_required,notes
REC-2d76a67a059e,MUS-8883e003c8c2,bunka_museum_guide,◎三菱一号館美術館,三菱一号館美術館,13101,千代田区,三菱一号館美術館|13101,core_unique,,false,
REC-b2f617bc64c4,MUS-03d2e8f2282b,bunka_museum_guide,◎共立女子大学博物館,共立女子大学博物館,13101,千代田区,共立女子大学博物館|13101,core_unique,,false,
REC-70e538bc0f88,MUS-74f48569201f,bunka_museum_guide,出光美術館,出光美術館,13101,千代田区,出光美術館|13101,core_unique,,false,
REC-50e123153232,MUS-fd2edd15d0e6,bunka_museum_guide,大妻女子大学博物館,大妻女子大学博物館,13101,千代田区,大妻女子大学博物館|13101,core_unique,,false,
REC-fa91060b74c5,MUS-c21cc2d3c247,bunka_museum_guide,日本カメラ博物館,日本カメラ博物館,13101,千代田区,日本カメラ博物館|13101,core_unique,,false,
REC-73cf8f355b59,MUS-7ac45ed811fa,bunka_museum_guide,◎明治大学博物館,明治大学博物館,13101,千代田区,明治大学博物館|13101,core_unique,,false,
REC-28a13ea48f9c,MUS-ebfa492a5a88,bunka_museum_guide,東京ステーションギャラリー,東京ステーションギャラリー,13101,千代田区,東京ステーションギャラリー|13101,core_unique,,false,
REC-417677defe7d,MUS-4529d3c7bd8d,bunka_museum_guide,〇東京国立近代美術館,東京国立近代美術館,13101,千代田区,東京国立近代美術館|13101,core_unique,,false,
REC-de649a17bcb9,MUS-a44cfd6cc5c2,bunka_museum_guide,〇皇居三の丸尚蔵館,皇居三の丸尚蔵館,13101,千代田区,皇居三の丸尚蔵館|13101,core_unique,,false,
REC-a75cd828f017,MUS-5ba077e4f40c,bunka_museum_guide,科学技術館,科学技術館,13101,千代田区,科学技術館|13101,core_unique,,false,
REC-821112ac5321,MUS-fe10721ce902,bunka_museum_guide,静嘉堂文庫美術館,静嘉堂文庫美術館,13101,千代田区,静嘉堂文庫美術館|13101,core_unique,,false,
REC-bccf0e2a87d0,MUS-d85efefd3fb5,bunka_museum_guide,アーティゾン美術館,アーティゾン美術館,13102,中央区,アーティゾン美術館|13102,core_unique,,false,
REC-1d5e5666a426,MUS-85de7dae30d2,bunka_museum_guide,三井記念美術館,三井記念美術館,13102,中央区,三井記念美術館|13102,core_unique,,false,
REC-cffc9cbc0e62,MUS-4d222c089a40,bunka_museum_guide,〇国立映画アーカイブ,国立映画アーカイブ,13102,中央区,国立映画アーカイブ|13102,core_unique,,false,
REC-bb4c2585124e,MUS-93148e99ad25,bunka_museum_guide,ＮＨＫ放送博物館,nhk放送博物館,13103,港区,nhk放送博物館|13103,core_unique,,false,
REC-93f6cb99832c,MUS-af7b3a0e9e17,bunka_museum_guide,◎お茶の文化創造博物館,お茶の文化創造博物館,13103,港区,お茶の文化創造博物館|13103,core_unique,,false,
REC-4b832fb8c498,MUS-bfbd49f33ea5,bunka_museum_guide,アドミュージアム東京,アドミュージアム東京,13103,港区,アドミュージアム東京|13103,core_unique,,false,
REC-928b47c92e52,MUS-3bcefbca9d66,bunka_museum_guide,パナソニック汐留美術館,パナソニック汐留美術館,13103,港区,パナソニック汐留美術館|13103,core_unique,,false,
REC-cb2c87e84c9c,MUS-dde5b905c39b,bunka_museum_guide,◎マクセルアクアパーク品川,マクセルアクアパーク品川,13103,港区,マクセルアクアパーク品川|13103,core_unique,,false,
REC-f649f3439c4b,MUS-d45902c78678,bunka_museum_guide,○北里柴三郎記念博物館,北里柴三郎記念博物館,13103,港区,北里柴三郎記念博物館|13103,core_unique,,false,
REC-49602f6e9897,MUS-c3079c129a21,bunka_museum_guide,◎大倉集古館,大倉集古館,13103,港区,大倉集古館|13103,core_unique,,false,
REC-1f83d7df3da8,MUS-91e76427b3ff,bunka_museum_guide,◎慶應義塾大学アート・センター,慶應義塾大学アートセンター,13103,港区,慶應義塾大学アートセンター|13103,core_unique,,false,
REC-368b2a5745d4,MUS-3b41406e10f6,bunka_museum_guide,東京海洋大学マリンサイエンスミュージアム,東京海洋大学マリンサイエンスミュージアム,13103,港区,東京海洋大学マリンサイエンスミュージアム|13103,core_unique,,false,
REC-369e5b4ac180,MUS-b699150007fe,bunka_museum_guide,東京都庭園美術館,東京都庭園美術館,13103,港区,東京都庭園美術館|13103,core_unique,,false,
REC-1d1f9c1a188a,MUS-6a41ca15d0f5,bunka_museum_guide,◎根津美術館,根津美術館,13103,港区,根津美術館|13103,core_unique,,false,
REC-0e87eef4bc79,MUS-b3ab9afa5fce,bunka_museum_guide,森美術館,森美術館,13103,港区,森美術館|13103,core_unique,,false,
REC-31b4f57089d1,MUS-ee0bf6430dd1,bunka_museum_guide,◎泉屋博古館東京,泉屋博古館東京,13103,港区,泉屋博古館東京|13103,core_unique,,false,
REC-a74ebcbaee23,MUS-91eb434b1f47,bunka_museum_guide,物流博物館,物流博物館,13103,港区,物流博物館|13103,core_unique,,false,
REC-f4e143a6434d,MUS-3541571d7c2c,bunka_museum_guide,荏原 畠山記念館,荏原畠山記念館,13103,港区,荏原畠山記念館|13103,core_unique,,false,
REC-f1e96c97a1bb,MUS-e44b40073b9e,bunka_museum_guide,菊池寛実記念智美術館,菊池寛実記念智美術館,13103,港区,菊池寛実記念智美術館|13103,core_unique,,false,
REC-c6ab99bfbc97,MUS-bc9a5e58eb9e,bunka_museum_guide,◎SOMPO美術館,sompo美術館,13104,新宿区,sompo美術館|13104,core_unique,,false,
REC-106128c21bd6,MUS-7cbedc47f65c,bunka_museum_guide,佐藤美術館,佐藤美術館,13104,新宿区,佐藤美術館|13104,core_unique,,false,
REC-7c5df0621845,MUS-3e0a89b8be69,bunka_museum_guide,帝国データバンク史料館,帝国データバンク史料館,13104,新宿区,帝国データバンク史料館|13104,core_unique,,false,
REC-fefa1d746b40,MUS-aff921e2eba3,bunka_museum_guide,新宿区立新宿歴史博物館,新宿区立新宿歴史博物館,13104,新宿区,新宿区立新宿歴史博物館|13104,core_unique,,false,
REC-e42c41938e1b,MUS-8b4cb59b18ff,bunka_museum_guide,早稲田大学坪内博士記念演劇博物館,早稲田大学坪内博士記念演劇博物館,13104,新宿区,早稲田大学坪内博士記念演劇博物館|13104,core_unique,,false,
REC-cd2c9a8765da,MUS-0c8c7acccb98,bunka_museum_guide,早稲田大学會津八一記念博物館,早稲田大学會津八一記念博物館,13104,新宿区,早稲田大学會津八一記念博物館|13104,core_unique,,false,
REC-d5a787d96b74,MUS-ac49a46ba464,bunka_museum_guide,東京オペラシティアートギャラリー,東京オペラシティアートギャラリー,13104,新宿区,東京オペラシティアートギャラリー|13104,core_unique,,false,
REC-f67b25e52c0f,MUS-3e441dfef70d,bunka_museum_guide,東京理科大学近代科学資料館,東京理科大学近代科学資料館,13104,新宿区,東京理科大学近代科学資料館|13104,core_unique,,false,
REC-63d53c463f10,MUS-67701c04a67e,bunka_museum_guide,民音音楽博物館,民音音楽博物館,13104,新宿区,民音音楽博物館|13104,core_unique,,false,
REC-5fda55960d4b,MUS-9a5b3f511adf,bunka_museum_guide,○秩父宮記念スポーツ博物館,秩父宮記念スポーツ博物館,13104,新宿区,秩父宮記念スポーツ博物館|13104,core_unique,,false,
REC-8ccc9e2c6131,MUS-2da88e2469af,bunka_museum_guide,◎草間彌生美術館,草間彌生美術館,13104,新宿区,草間彌生美術館|13104,core_unique,,false,
REC-8499ef5423b6,MUS-43a903e4e5a2,bunka_museum_guide,◎日本女子大学成瀬記念館,日本女子大学成瀬記念館,13105,文京区,日本女子大学成瀬記念館|13105,core_unique,,false,
REC-78c42f872518,MUS-5d010153218c,bunka_museum_guide,東洋大学井上円了記念博物館,東洋大学井上円了記念博物館,13105,文京区,東洋大学井上円了記念博物館|13105,core_unique,,false,
REC-8719b61598cb,MUS-e35c950a5609,bunka_museum_guide,◎東洋文庫ミュージアム,東洋文庫ミュージアム,13105,文京区,東洋文庫ミュージアム|13105,core_unique,,false,
REC-8cf1684b6bcd,MUS-f8f5469192a7,bunka_museum_guide,◎永青文庫,永青文庫,13105,文京区,永青文庫|13105,core_unique,,false,
REC-ce907435b14f,MUS-43bfff6046a9,bunka_museum_guide,◎野球殿堂博物館,野球殿堂博物館,13105,文京区,野球殿堂博物館|13105,core_unique,,false,
REC-f1377d8fa2d9,MUS-d7c53e1f914c,bunka_museum_guide,上野の森美術館,上野の森美術館,13106,台東区,上野の森美術館|13106,core_unique,,false,
REC-3d932a1cd6e6,MUS-19c7ed10458b,bunka_museum_guide,国立科学博物館,国立科学博物館,13106,台東区,国立科学博物館|13106,core_unique,,false,
REC-f0f40d4e8c16,MUS-230fe7c6b447,bunka_museum_guide,〇国立西洋美術館,国立西洋美術館,13106,台東区,国立西洋美術館|13106,core_unique,,false,
REC-26962742bea5,MUS-6f7fbf240b43,bunka_museum_guide,大名時計博物館,大名時計博物館,13106,台東区,大名時計博物館|13106,core_unique,,false,
REC-4dad7613d73b,MUS-ae6d2973f2dc,bunka_museum_guide,◎恩賜上野動物園,恩賜上野動物園,13106,台東区,恩賜上野動物園|13106,core_unique,,false,
REC-bd8971c25156,MUS-db057117da11,bunka_museum_guide,〇東京国立博物館,東京国立博物館,13106,台東区,東京国立博物館|13106,core_unique,,false,
REC-e6b7a26f3287,MUS-c2a53f1a60da,bunka_museum_guide,東京都美術館,東京都美術館,13106,台東区,東京都美術館|13106,core_unique,,false,
REC-7b67bdeb0be4,MUS-0d0261f2e923,bunka_museum_guide,横山大観記念館,横山大観記念館,13106,台東区,横山大観記念館|13106,core_unique,,false,
REC-68b612a51d80,MUS-4fd5bdd8906e,bunka_museum_guide,すみだ郷土文化資料館,すみだ郷土文化資料館,13107,墨田区,すみだ郷土文化資料館|13107,core_unique,,false,
REC-b849e8de726f,MUS-06aa0bb52c59,bunka_museum_guide,刀剣博物館,刀剣博物館,13107,墨田区,刀剣博物館|13107,core_unique,,false,
REC-913c3975dbfe,MUS-1cfcc3421af0,bunka_museum_guide,東京都江戸東京博物館（分館 江戸東京たてもの園）,東京都江戸東京博物館(分館江戸東京たてもの園),13107,墨田区,東京都江戸東京博物館(分館江戸東京たてもの園)|13107,core_unique,,false,
REC-4b2bac5e9add,MUS-ae3f9923e598,bunka_museum_guide,相撲博物館,相撲博物館,13107,墨田区,相撲博物館|13107,core_unique,,false,
REC-ac7c6f052214,MUS-53cda5b66d39,bunka_museum_guide,東京都現代美術館,東京都現代美術館,13108,江東区,東京都現代美術館|13108,core_unique,,false,
REC-d7e0b39b1ac7,MUS-b50772411a96,bunka_museum_guide,◎船の科学館,船の科学館,13108,江東区,船の科学館|13108,core_unique,,false,
REC-f4728fd24532,MUS-51d7f85b4908,bunka_museum_guide,杉野学園衣裳博物館,杉野学園衣裳博物館,13109,品川区,杉野学園衣裳博物館|13109,core_unique,,false,
REC-e7d0a38e52ed,MUS-24af58026e92,bunka_museum_guide,宗教法人長泉院附属現代彫刻美術館,宗教法人長泉院附属現代彫刻美術館,13110,目黒区,宗教法人長泉院附属現代彫刻美術館|13110,core_unique,,false,
REC-b88eca8273ea,MUS-9bc5f5f13c4e,bunka_museum_guide,日本民藝館,日本民藝館,13110,目黒区,日本民藝館|13110,core_unique,,false,
REC-4d1df8c5af15,MUS-8a07d4c3ad5b,bunka_museum_guide,東京科学大学博物館,東京科学大学博物館,13110,目黒区,東京科学大学博物館|13110,core_unique,,false,
REC-f954e20b2513,MUS-bb9a2e40fe65,bunka_museum_guide,東京都写真美術館,東京都写真美術館,13110,目黒区,東京都写真美術館|13110,core_unique,,false,
REC-c0f3955bde43,MUS-40fc2de9f4c6,bunka_museum_guide,◎目黒寄生虫館,目黒寄生虫館,13110,目黒区,目黒寄生虫館|13110,core_unique,,false,
REC-39e4ac6bc4e3,MUS-e1f88cd3c5ba,bunka_museum_guide,世田谷区立世田谷文学館,世田谷区立世田谷文学館,13112,世田谷区,世田谷区立世田谷文学館|13112,core_unique,,false,
REC-4110caf1854f,MUS-beb0e8f2c733,bunka_museum_guide,世田谷区立世田谷美術館,世田谷区立世田谷美術館,13112,世田谷区,世田谷区立世田谷美術館|13112,core_unique,,false,
REC-51db3f5006da,MUS-5a38b0cc93c0,bunka_museum_guide,◎世田谷区立郷土資料館,世田谷区立郷土資料館,13112,世田谷区,世田谷区立郷土資料館|13112,core_unique,,false,
REC-ae7be2dddea1,MUS-d70b70a2e8ea,bunka_museum_guide,五島美術館,五島美術館,13112,世田谷区,五島美術館|13112,core_unique,,false,
REC-191ba9432820,MUS-83ecd2d261da,bunka_museum_guide,日本大学文理学部資料館,日本大学文理学部資料館,13112,世田谷区,日本大学文理学部資料館|13112,core_unique,,false,
REC-67be13d74dc8,MUS-005aa6852919,bunka_museum_guide,昭和女子大学光葉博物館,昭和女子大学光葉博物館,13112,世田谷区,昭和女子大学光葉博物館|13112,core_unique,,false,
REC-efb98c5c752e,MUS-aa72866cf092,bunka_museum_guide,東京農業大学「食と農」の博物館,東京農業大学「食と農」の博物館,13112,世田谷区,東京農業大学「食と農」の博物館|13112,core_unique,,false,
REC-442086b92159,MUS-ccb9d4d0e278,bunka_museum_guide,賀川豊彦記念松沢資料館,賀川豊彦記念松沢資料館,13112,世田谷区,賀川豊彦記念松沢資料館|13112,core_unique,,false,
REC-1cdf56657ab5,MUS-2e0130667ee5,bunka_museum_guide,長谷川町子美術館,長谷川町子美術館,13112,世田谷区,長谷川町子美術館|13112,core_unique,,false,
REC-207818942a54,MUS-3fd6eab357e5,bunka_museum_guide,◎駒澤大学禅文化歴史博物館,駒澤大学禅文化歴史博物館,13112,世田谷区,駒澤大学禅文化歴史博物館|13112,core_unique,,false,
REC-9bc7ebae8f37,MUS-1f4836b8c1e3,bunka_museum_guide,齋田記念館,齋田記念館,13112,世田谷区,齋田記念館|13112,core_unique,,false,
REC-c4924bdf8e9b,MUS-0ad886f854cf,bunka_museum_guide,Bunkamuraザ・ミュージアム,bunkamuraザミュージアム,13113,渋谷区,bunkamuraザミュージアム|13113,core_unique,,false,
REC-4716bee92c6b,MUS-b2f65beb4419,bunka_museum_guide,古賀政男音楽博物館,古賀政男音楽博物館,13113,渋谷区,古賀政男音楽博物館|13113,core_unique,,false,
REC-d159c32a7358,MUS-987f00e0bdd9,bunka_museum_guide,國學院大學博物館,國學院大學博物館,13113,渋谷区,國學院大學博物館|13113,core_unique,,false,
REC-d1c2ea160684,MUS-8708d6999c0d,bunka_museum_guide,◎太田記念美術館,太田記念美術館,13113,渋谷区,太田記念美術館|13113,core_unique,,false,
REC-1bb2211dfd1a,MUS-8bfc217e0022,bunka_museum_guide,実践女子学園香雪記念資料館,実践女子学園香雪記念資料館,13113,渋谷区,実践女子学園香雪記念資料館|13113,core_unique,,false,
REC-302f9cfa4223,MUS-2d37b77014ad,bunka_museum_guide,◎山種美術館,山種美術館,13113,渋谷区,山種美術館|13113,core_unique,,false,
REC-bb5b8a1cdbbf,MUS-bbad9241562a,bunka_museum_guide,◎戸栗美術館,戸栗美術館,13113,渋谷区,戸栗美術館|13113,core_unique,,false,
REC-732fe6b27566,MUS-3f5a1f8fa447,bunka_museum_guide,文化学園服飾博物館,文化学園服飾博物館,13113,渋谷区,文化学園服飾博物館|13113,core_unique,,false,
REC-4e7d7e988cc8,MUS-1c5d7eae0e01,bunka_museum_guide,明治神宮宝物殿（分館 明治神宮ミュージアム）,明治神宮宝物殿(分館明治神宮ミュージアム),13113,渋谷区,明治神宮宝物殿(分館明治神宮ミュージアム)|13113,core_unique,,false,
REC-6bf10f4dcb44,MUS-84afc5895616,bunka_museum_guide,東京工芸大学芸術学部写大ギャラリー,東京工芸大学芸術学部写大ギャラリー,13114,中野区,東京工芸大学芸術学部写大ギャラリー|13114,core_unique,,false,
REC-6793b691db21,MUS-1b33a8f33d68,bunka_museum_guide,杉並区立郷土博物館,杉並区立郷土博物館,13115,杉並区,杉並区立郷土博物館|13115,core_unique,,false,
REC-b5b0d46f40de,MUS-a05dd0225aa2,bunka_museum_guide,切手の博物館,切手の博物館,13116,豊島区,切手の博物館|13116,core_unique,,false,
REC-d30032e719c6,MUS-ebead6cca0cb,bunka_museum_guide,古代オリエント博物館,古代オリエント博物館,13116,豊島区,古代オリエント博物館|13116,core_unique,,false,
REC-f080c39bfc27,MUS-1b16e3f81318,bunka_museum_guide,学習院大学史料館,学習院大学史料館,13116,豊島区,学習院大学史料館|13116,core_unique,,false,
REC-551b273622bc,MUS-289a5251f9a8,bunka_museum_guide,◎大谷美術館,大谷美術館,13117,北区,大谷美術館|13117,core_unique,,false,
REC-f35ad543b045,MUS-55a1b90abc63,bunka_museum_guide,◎渋沢史料館,渋沢史料館,13117,北区,渋沢史料館|13117,core_unique,,false,
REC-71e7038285e6,MUS-f378b45a4cc0,bunka_museum_guide,◎紙の博物館,紙の博物館,13117,北区,紙の博物館|13117,core_unique,,false,
REC-aa527ce86220,MUS-d0fbe6f932e1,bunka_museum_guide,日本書道美術館,日本書道美術館,13119,板橋区,日本書道美術館|13119,core_unique,,false,
REC-da576f9b0875,MUS-e6cf7345d4d2,bunka_museum_guide,東京家政大学博物館,東京家政大学博物館,13119,板橋区,東京家政大学博物館|13119,core_unique,,false,
REC-9a03bca2b89f,MUS-1b0f2fc471fc,bunka_museum_guide,ちひろ美術館・東京,ちひろ美術館東京,13120,練馬区,ちひろ美術館東京|13120,core_unique,,false,
REC-7de94de5cc76,MUS-0e6f5377989f,bunka_museum_guide,日本大学芸術学部芸術資料館,日本大学芸術学部芸術資料館,13120,練馬区,日本大学芸術学部芸術資料館|13120,core_unique,,false,
REC-8f53dedb9f7b,MUS-4f5e953f810b,bunka_museum_guide,練馬区立美術館,練馬区立美術館,13120,練馬区,練馬区立美術館|13120,core_unique,,false,
REC-afafe102c097,MUS-551749fd6deb,bunka_museum_guide,◎石洞美術館,石洞美術館,13121,足立区,石洞美術館|13121,core_unique,,false,
REC-e08ecb5af8fc,MUS-5d8c5464bbdf,bunka_museum_guide,足立区立郷土博物館,足立区立郷土博物館,13121,足立区,足立区立郷土博物館|13121,core_unique,,false,
REC-48844af07161,MUS-02dd7815a999,bunka_museum_guide,葛飾区郷土と天文の博物館,葛飾区郷土と天文の博物館,13122,葛飾区,葛飾区郷土と天文の博物館|13122,core_unique,,false,
REC-3a895f6d1cdd,MUS-0babb4eddce6,bunka_museum_guide,地下鉄博物館,地下鉄博物館,13123,江戸川区,地下鉄博物館|13123,core_unique,,false,
REC-efcffcfb2c64,MUS-1f5d80562d15,bunka_museum_guide,◎葛西臨海水族園,葛西臨海水族園,13123,江戸川区,葛西臨海水族園|13123,core_unique,,false,
REC-161875a79e72,MUS-2a9a8965fbfa,bunka_museum_guide,八王子市郷土資料館,八王子市郷土資料館,13201,八王子市,八王子市郷土資料館|13201,core_unique,,false,
REC-04bc489ebdc4,MUS-6831472ef464,bunka_museum_guide,村内美術館,村内美術館,13201,八王子市,村内美術館|13201,core_unique,,false,
REC-8a20e1639529,MUS-aabc3cacbbbf,bunka_museum_guide,◎東京富士美術館,東京富士美術館,13201,八王子市,東京富士美術館|13201,core_unique,,false,
REC-b2bf7c1cf42b,MUS-f2daf25fbe28,bunka_museum_guide,東京造形大学附属美術館,東京造形大学附属美術館,13201,八王子市,東京造形大学附属美術館|13201,core_unique,,false,
REC-afbc47e9c29d,MUS-660cd09f0c33,bunka_museum_guide,◎たましん美術館,たましん美術館,13202,立川市,たましん美術館|13202,core_unique,,false,
REC-6c5fa8335c0e,MUS-a6d4544423a3,bunka_museum_guide,昭和天皇記念館,昭和天皇記念館,13202,立川市,昭和天皇記念館|13202,core_unique,,false,
REC-441109bcef58,MUS-bc6384c2484f,bunka_museum_guide,◎井の頭自然文化園,井の頭自然文化園,13203,武蔵野市,井の頭自然文化園|13203,core_unique,,false,
REC-f7612916599d,MUS-8e2cf69e0c7a,bunka_museum_guide,成蹊学園史料館,成蹊学園史料館,13203,武蔵野市,成蹊学園史料館|13203,core_unique,,false,
REC-8354d0af3dd0,MUS-4151a7d66f3e,bunka_museum_guide,◎日本獣医生命科学大学付属博物館,日本獣医生命科学大学付属博物館,13203,武蔵野市,日本獣医生命科学大学付属博物館|13203,core_unique,,false,
REC-c6dfa3d14ef5,MUS-014a7d8b2bb6,bunka_museum_guide,中近東文化センター付属博物館,中近東文化センター付属博物館,13204,三鷹市,中近東文化センター付属博物館|13204,core_unique,,false,
REC-35e83b431675,MUS-613ba5d0ae30,bunka_museum_guide,国際基督教大学博物館湯浅八郎記念館,国際基督教大学博物館湯浅八郎記念館,13204,三鷹市,国際基督教大学博物館湯浅八郎記念館|13204,core_unique,,false,
REC-96f584c6a15b,MUS-3bf2e3b5f91d,bunka_museum_guide,青梅市立美術館 青梅市立小島善太郎美術館,青梅市立美術館青梅市立小島善太郎美術館,13205,青梅市,青梅市立美術館青梅市立小島善太郎美術館|13205,core_unique,,false,
REC-9cc232268f79,MUS-c80e65a42ec0,bunka_museum_guide,青梅市郷土博物館,青梅市郷土博物館,13205,青梅市,青梅市郷土博物館|13205,core_unique,,false,
REC-aec700877f75,MUS-13a3749db7b4,bunka_museum_guide,府中市美術館,府中市美術館,13206,府中市,府中市美術館|13206,core_unique,,false,
REC-bbd22c167df9,MUS-d9c8d9431274,bunka_museum_guide,◎府中市郷土の森博物館,府中市郷土の森博物館,13206,府中市,府中市郷土の森博物館|13206,core_unique,,false,
REC-39ac6eb84c34,MUS-d8536b1cd553,bunka_museum_guide,家具の博物館,家具の博物館,13207,昭島市,家具の博物館|13207,core_unique,,false,
REC-712c65fc8b60,MUS-8482bfcbe8cd,bunka_museum_guide,調布市郷土博物館,調布市郷土博物館,13208,調布市,調布市郷土博物館|13208,core_unique,,false,
REC-3466257873ca,MUS-a77d4b366be2,bunka_museum_guide,東京家政学院生活文化博物館,東京家政学院生活文化博物館,13209,町田市,東京家政学院生活文化博物館|13209,core_unique,,false,
