record_id,source_id,source_role,source_tier,facility_name_raw,facility_name_normalized,municipality_code,municipality_name,postal_code,address,phone,official_url,facility_type,museum_law_status,record_status,retrieved_at,source_url,notes
REC-2d76a67a059e,bunka_museum_guide,core,A,◎三菱一号館美術館,三菱一号館美術館,13101,千代田区,,,,https://mimt.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-b2f617bc64c4,bunka_museum_guide,core,A,◎共立女子大学博物館,共立女子大学博物館,13101,千代田区,,,,https://www.kyoritsu-wu.ac.jp/muse/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-70e538bc0f88,bunka_museum_guide,core,A,出光美術館,出光美術館,13101,千代田区,,,,http://idemitsu-museum.or.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-50e123153232,bunka_museum_guide,core,A,大妻女子大学博物館,大妻女子大学博物館,13101,千代田区,,,,https://www.museum.otsuma.ac.jp/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-fa91060b74c5,bunka_museum_guide,core,A,日本カメラ博物館,日本カメラ博物館,13101,千代田区,,,,https://www.jcii-cameramuseum.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-73cf8f355b59,bunka_museum_guide,core,A,◎明治大学博物館,明治大学博物館,13101,千代田区,,,,https://www.meiji.ac.jp/museum/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-28a13ea48f9c,bunka_museum_guide,core,A,東京ステーションギャラリー,東京ステーションギャラリー,13101,千代田区,,,,https://www.ejrcf.or.jp/gallery/index.asp,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-417677defe7d,bunka_museum_guide,core,A,〇東京国立近代美術館,東京国立近代美術館,13101,千代田区,,,,https://www.momat.go.jp/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-de649a17bcb9,bunka_museum_guide,core,A,〇皇居三の丸尚蔵館,皇居三の丸尚蔵館,13101,千代田区,,,,https://shozokan.nich.go.jp/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-a75cd828f017,bunka_museum_guide,core,A,科学技術館,科学技術館,13101,千代田区,,,,https://www.jsf.or.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-821112ac5321,bunka_museum_guide,core,A,静嘉堂文庫美術館,静嘉堂文庫美術館,13101,千代田区,,,,https://www.seikado.or.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-bccf0e2a87d0,bunka_museum_guide,core,A,アーティゾン美術館,アーティゾン美術館,13102,中央区,,,,https://www.artizon.museum/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-1d5e5666a426,bunka_museum_guide,core,A,三井記念美術館,三井記念美術館,13102,中央区,,,,https://www.mitsui-museum.jp/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-cffc9cbc0e62,bunka_museum_guide,core,A,〇国立映画アーカイブ,国立映画アーカイブ,13102,中央区,,,,https://www.nfaj.go.jp/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-bb4c2585124e,bunka_museum_guide,core,A,ＮＨＫ放送博物館,nhk放送博物館,13103,港区,,,,http://www.nhk.or.jp/museum/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-93f6cb99832c,bunka_museum_guide,core,A,◎お茶の文化創造博物館,お茶の文化創造博物館,13103,港区,,,,https://www.ochamuseum.jp/culture/,museum,registered,core_registered,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-4b832fb8c498,bunka_museum_guide,core,A,アドミュージアム東京,アドミュージアム東京,13103,港区,,,,https://www.admt.jp/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
REC-928b47c92e52,bunka_museum_guide,core,A,パナソニック汐留美術館,パナソニック汐留美術館,13103,港区,,,,https://panasonic.co.jp/ew/museum/,museum,designated_facility,core_designated,2026-09-04T16:20:12+00:00,https://museum.bunka.go.jp/guide/,
