city_code,city,plateau_year,plateau_source,cultural_records,building_direct_records,point_records,movable_records,complexes,building_complexes,complex_member_links,plateau_files,scanned_buildings,selected_buildings,selected_buildings_with_disaster_risk,selected_disaster_risk_records,written_gml_buildings,heritage_point_features,complex_only_records,shared_complex_coordinate_records,unresolved_entities,cache_recovery_count,cache_recovery_events,status,plateau_files_expected,plateau_files_downloaded,plateau_query_errors,plateau_download_errors
13101,千代田区,latest,api,44.0,39.0,5.0,0.0,25.0,15.0,24.0,12.0,16179.0,24.0,14.0,25.0,24.0,9.0,5.0,0.0,14.0,1.0,"[{'attempt': 1, 'stage': 'scan', 'failed_path': '/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/.cache/plateau/13101/53394621_bldg_6697_op.gml', 'error': 'TimeoutError: [Errno 60] Operation timed out', 'action': 'purge_municipality_cache_and_redownload_all', 'files_available_after_recovery': 12, 'download_errors': 0}]",completed,,,,
13102,中央区,latest,api,133.0,40.0,50.0,43.0,79.0,52.0,52.0,11.0,21543.0,51.0,43.0,71.0,51.0,12.0,69.0,69.0,81.0,1.0,"[{'attempt': 1, 'stage': 'scan', 'failed_path': '/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/.cache/plateau/13102/53394621_bldg_6697_op.gml', 'error': 'TimeoutError: [Errno 60] Operation timed out', 'action': 'purge_municipality_cache_and_redownload_all', 'files_available_after_recovery': 11, 'download_errors': 0}]",completed,,,,
13103,港区,latest,api,52.0,41.0,11.0,0.0,35.0,24.0,27.0,16.0,23968.0,27.0,17.0,28.0,27.0,8.0,11.0,2.0,19.0,1.0,"[{'attempt': 1, 'stage': 'scan', 'failed_path': '/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/.cache/plateau/13103/53393589_bldg_6697_op.gml', 'error': 'TimeoutError: [Errno 60] Operation timed out', 'action': 'purge_municipality_cache_and_redownload_all', 'files_available_after_recovery': 16, 'download_errors': 0}]",completed,,,,
13104,新宿区,latest,api,258.0,21.0,235.0,2.0,173.0,88.0,90.0,24.0,79131.0,84.0,55.0,61.0,84.0,53.0,109.0,100.0,164.0,1.0,"[{'attempt': 1, 'stage': 'scan', 'failed_path': '/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/.cache/plateau/13104/53394525_bldg_6697_op.gml', 'error': 'TimeoutError: [Errno 60] Operation timed out', 'action': 'purge_municipality_cache_and_redownload_all', 'files_available_after_recovery': 24, 'download_errors': 0}]",completed,,,,
13105,文京区,latest,api,92.0,80.0,12.0,0.0,55.0,48.0,60.0,13.0,44022.0,60.0,33.0,36.0,60.0,7.0,20.0,0.0,27.0,0.0,[],completed,,,,
13106,台東区,latest,api,293.0,84.0,55.0,154.0,161.0,99.0,119.0,16.0,64125.0,96.0,66.0,107.0,96.0,23.0,137.0,124.0,167.0,1.0,"[{'attempt': 1, 'stage': 'scan', 'failed_path': '/Users/noguchiatsushi/Documents/GitHub/PLATEAU_heritage/.cache/plateau/13106/53394661_bldg_6697_op.gml', 'error': 'TimeoutError: [Errno 60] Operation timed out', 'action': 'purge_municipality_cache_and_redownload_all', 'files_available_after_recovery': 16, 'download_errors': 0}]",completed,,,,
13107,墨田区,latest,api,181.0,18.0,97.0,66.0,90.0,28.0,29.0,19.0,72871.0,29.0,28.0,56.0,29.0,18.0,118.0,118.0,152.0,0.0,[],completed,,,,
13108,江東区,latest,api,1047.0,131.0,268.0,648.0,341.0,103.0,107.0,25.0,69109.0,100.0,99.0,184.0,100.0,133.0,807.0,793.0,940.0,0.0,[],completed,,,,
13109,品川区,latest,api,15.0,10.0,4.0,1.0,13.0,9.0,9.0,8.0,30085.0,9.0,7.0,9.0,9.0,2.0,4.0,2.0,6.0,0.0,[],completed,,,,
13110,目黒区,latest,api,35.0,30.0,3.0,2.0,16.0,14.0,24.0,8.0,31195.0,24.0,11.0,12.0,24.0,1.0,8.0,2.0,9.0,0.0,[],completed,,,,
13111,大田区,latest,api,38.0,33.0,5.0,0.0,28.0,24.0,31.0,15.0,63445.0,31.0,24.0,35.0,31.0,4.0,1.0,0.0,5.0,0.0,[],completed,,,,
13112,世田谷区,latest,api,43.0,30.0,11.0,2.0,32.0,25.0,29.0,20.0,73536.0,28.0,18.0,18.0,28.0,6.0,8.0,4.0,14.0,0.0,[],completed,,,,
13113,渋谷区,latest,api,33.0,30.0,1.0,2.0,13.0,11.0,16.0,9.0,20838.0,15.0,7.0,7.0,15.0,1.0,2.0,2.0,3.0,0.0,[],completed,,,,
13114,中野区,latest,api,129.0,15.0,7.0,107.0,57.0,46.0,46.0,18.0,89270.0,41.0,23.0,24.0,41.0,6.0,49.0,45.0,55.0,0.0,[],completed,,,,
13115,杉並区,latest,api,181.0,41.0,62.0,78.0,101.0,68.0,75.0,34.0,153793.0,72.0,41.0,43.0,72.0,11.0,95.0,95.0,106.0,0.0,[],completed,,,,
13116,豊島区,latest,api,406.0,43.0,116.0,247.0,132.0,9.0,14.0,6.0,25225.0,14.0,5.0,5.0,14.0,3.0,314.0,2.0,389.0,0.0,[],completed,,,,
13117,北区,latest,api,19.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,7.0,7.0,4.0,0.0
13118,荒川区,latest,api,258.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,14.0,14.0,1.0,0.0
13119,板橋区,latest,api,71.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,24.0,24.0,2.0,0.0
13120,練馬区,latest,api,228.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,42.0,42.0,12.0,0.0
13121,足立区,latest,api,4.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,3.0,3.0,1.0,0.0
13122,葛飾区,latest,api,223.0,5.0,213.0,5.0,223.0,5.0,5.0,7.0,29506.0,5.0,5.0,33.0,5.0,2.0,0.0,0.0,218.0,0.0,[],completed,,,,
13123,江戸川区,latest,api,242.0,0.0,242.0,0.0,242.0,2.0,2.0,2.0,6956.0,2.0,2.0,14.0,2.0,1.0,0.0,0.0,240.0,0.0,[],completed,,,,
13201,八王子市,latest,api,18.0,5.0,10.0,3.0,12.0,3.0,3.0,12.0,23789.0,3.0,3.0,5.0,3.0,7.0,8.0,8.0,15.0,0.0,[],completed,,,,
13202,立川市,latest,api,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2279.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,[],completed,,,,
13203,武蔵野市,latest,api,4.0,3.0,1.0,0.0,4.0,2.0,2.0,2.0,5689.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,[],completed,,,,
13204,三鷹市,latest,api,27.0,24.0,2.0,1.0,14.0,13.0,19.0,9.0,22368.0,19.0,5.0,8.0,19.0,1.0,7.0,0.0,8.0,0.0,[],completed,,,,
13205,青梅市,latest,api,48.0,30.0,11.0,7.0,26.0,18.0,26.0,13.0,15478.0,26.0,17.0,26.0,26.0,5.0,13.0,11.0,18.0,0.0,[],completed,,,,
13206,府中市,latest,api,10.0,4.0,5.0,1.0,9.0,1.0,1.0,5.0,11818.0,1.0,0.0,0.0,1.0,7.0,2.0,2.0,9.0,0.0,[],completed,,,,
13207,昭島市,latest,api,5.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,6673.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13208,調布市,latest,api,97.0,30.0,40.0,27.0,46.0,21.0,22.0,21.0,63821.0,21.0,15.0,20.0,21.0,14.0,60.0,58.0,75.0,0.0,[],completed,,,,
13209,町田市,latest,api,5.0,2.0,3.0,0.0,5.0,3.0,3.0,3.0,6420.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,[],completed,,,,
13210,小金井市,latest,api,57.0,13.0,29.0,15.0,26.0,13.0,13.0,10.0,31488.0,13.0,7.0,8.0,13.0,8.0,36.0,36.0,44.0,0.0,[],completed,,,,
13211,小平市,latest,api,26.0,7.0,13.0,6.0,17.0,0.0,0.0,1.0,3620.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,26.0,0.0,[],completed,,,,
13212,日野市,latest,api,9.0,5.0,2.0,2.0,6.0,5.0,6.0,5.0,13097.0,6.0,5.0,5.0,6.0,0.0,3.0,3.0,3.0,0.0,[],completed,,,,
13213,東村山市,latest,api,47.0,1.0,45.0,1.0,32.0,11.0,11.0,11.0,31120.0,9.0,9.0,9.0,9.0,12.0,21.0,21.0,36.0,0.0,[],completed,,,,
13214,国分寺市,latest,api,51.0,10.0,35.0,6.0,26.0,3.0,4.0,10.0,32026.0,4.0,1.0,1.0,4.0,13.0,33.0,33.0,47.0,0.0,[],completed,,,,
13215,国立市,latest,api,129.0,23.0,60.0,46.0,30.0,19.0,32.0,7.0,16892.0,26.0,10.0,10.0,26.0,7.0,88.0,49.0,95.0,0.0,[],completed,,,,
13218,福生市,latest,api,15.0,15.0,0.0,0.0,4.0,4.0,12.0,3.0,6987.0,12.0,5.0,5.0,12.0,0.0,1.0,0.0,1.0,0.0,[],completed,,,,
13219,狛江市,latest,api,24.0,4.0,12.0,8.0,15.0,3.0,3.0,4.0,12847.0,3.0,3.0,8.0,3.0,3.0,13.0,13.0,21.0,0.0,[],completed,,,,
13220,東大和市,latest,api,44.0,7.0,23.0,14.0,35.0,17.0,17.0,10.0,26383.0,16.0,16.0,23.0,16.0,3.0,13.0,12.0,27.0,0.0,[],completed,,,,
13221,清瀬市,latest,api,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,2874.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13222,東久留米市,latest,api,96.0,15.0,81.0,0.0,50.0,22.0,24.0,15.0,41966.0,20.0,16.0,21.0,20.0,16.0,54.0,45.0,70.0,0.0,[],completed,,,,
13223,武蔵村山市,latest,api,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3502.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,[],completed,,,,
13224,多摩市,latest,api,9.0,4.0,4.0,1.0,8.0,6.0,6.0,6.0,11002.0,5.0,5.0,8.0,5.0,2.0,0.0,0.0,2.0,0.0,[],completed,,,,
13225,稲城市,latest,api,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1944.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,[],completed,,,,
13227,羽村市,latest,api,4.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,649.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,[],completed,,,,
13228,あきる野市,latest,api,176.0,40.0,93.0,43.0,114.0,61.0,66.0,28.0,37232.0,55.0,45.0,68.0,55.0,7.0,66.0,64.0,109.0,0.0,[],completed,,,,
13229,西東京市,latest,api,10.0,9.0,1.0,0.0,6.0,4.0,6.0,4.0,15228.0,6.0,1.0,1.0,6.0,1.0,3.0,2.0,4.0,0.0,[],completed,,,,
13303,瑞穂町,,,,,,,,,,,,,,,,,,,,,,no_local_cultural_records,,,,
13305,日の出町,latest,api,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2941.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13307,檜原村,latest,api,6.0,5.0,1.0,0.0,6.0,5.0,5.0,5.0,332.0,5.0,5.0,12.0,5.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13308,奥多摩町,latest,api,4.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,2.0,2.0,1.0,0.0
13361,大島町,latest,api,11.0,0.0,7.0,4.0,8.0,4.0,4.0,9.0,2573.0,3.0,0.0,0.0,3.0,2.0,5.0,2.0,7.0,0.0,[],completed,,,,
13362,利島村,latest,api,5.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,450.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,[],completed,,,,
13363,新島村,latest,api,6.0,6.0,0.0,0.0,5.0,4.0,4.0,2.0,2114.0,4.0,4.0,9.0,4.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13364,神津島村,,,,,,,,,,,,,,,,,,,,,,no_local_cultural_records,,,,
13381,三宅村,latest,api,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,465.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,[],completed,,,,
13382,御蔵島村,,,,,,,,,,,,,,,,,,,,,,no_local_cultural_records,,,,
13401,八丈町,latest,api,19.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,6.0,6.0,1.0,0.0
13402,青ケ島村,latest,api,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,[],completed,,,,
13421,小笠原村,latest,api,2.0,,,,,,,,,,,,,,,,,0.0,[],plateau_query_failed,0.0,0.0,2.0,0.0
13999,東京都サンプルデータ（竹芝モデル）,,,,,,,,,,,,,,,,,,,,,,no_local_cultural_records,,,,
