dataset_no,dataset_key,title,source_org,acquisition,source_url,resource,layer,geometry_type,row_count,status,note,ingested_at,license,license_url,redistribution,commercial_use,modification,redistribution_status,attribution,usage_note,license_checked_at
1,region_risk,地震に関する地域危険度測定調査地域危険度一覧,東京都都市整備局,CKAN metadata API + direct SHP download,https://www.toshiseibi.metro.tokyo.lg.jp/bosai/chousa_6/download/all2.zip,地震に関する地域危険度測定調査（第9回）地域危険度一覧(令和4年9月公表),hazard_region_risk,Polygon,5192,ok,,2026-09-03T23:23:29+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都都市整備局「地震に関する地域危険度測定調査地域危険度一覧」を加工して作成,東京都オープンデータ利用規約に従い、出典および加工した旨を明示する。,2026-09-04
2,fire_spread,地震時における地域別延焼危険度測定,東京消防庁,CKAN metadata API + direct SHP download,https://www.opendata.metro.tokyo.lg.jp/shoubou/2021/fire-spread-risk_municipalities.zip,東京都の地震時における地域別延焼危険度（町丁目単位）,hazard_fire_spread_town,Polygon,5430,ok,,2026-09-03T23:23:30+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京消防庁「地震時における地域別延焼危険度測定」を加工して作成,東京都オープンデータ利用規約に従い、出典および加工した旨を明示する。,2026-09-04
2,fire_spread,地震時における地域別延焼危険度測定,東京消防庁,CKAN metadata API + direct SHP download,https://www.opendata.metro.tokyo.lg.jp/shoubou/2021/fire-spread-risk_250m.zip,東京都の地震時における地域別延焼危険度（250mメッシュ単位）,hazard_fire_spread_mesh250,Polygon,29690,ok,,2026-09-03T23:23:30+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京消防庁「地震時における地域別延焼危険度測定」を加工して作成,東京都オープンデータ利用規約に従い、出典および加工した旨を明示する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/0_keisokusinndo50m_tosinnnannbutyokka.csv,計測震度50mメッシュ別_都心南部直下地震,hazard_seismic_50m_都心南部直下地震,Polygon (official 50m mesh-code rule),689135,ok,scenario=都心南部直下地震; stored as an independent scenario layer,2026-09-03T23:23:40+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/1_keisokusinndo50m_tamatoubutyokka.csv,計測震度50mメッシュ別_多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震,Polygon (official 50m mesh-code rule),689136,ok,scenario=多摩東部直下地震; stored as an independent scenario layer,2026-09-03T23:23:50+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/2_keisokusinndo50m_tosinntoubutyokka.csv,計測震度50mメッシュ別_都心東部直下地震,hazard_seismic_50m_都心東部直下地震,Polygon (official 50m mesh-code rule),689135,ok,scenario=都心東部直下地震; stored as an independent scenario layer,2026-09-03T23:24:00+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/3_keisokusinndo50m_tosinnseibutyokka.csv,計測震度50mメッシュ別_都心西部直下地震,hazard_seismic_50m_都心西部直下地震,Polygon (official 50m mesh-code rule),689135,ok,scenario=都心西部直下地震; stored as an independent scenario layer,2026-09-03T23:24:10+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/4_keisokusinndo50m_tamaseibutyokka.csv,計測震度50mメッシュ別_多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震,Polygon (official 50m mesh-code rule),689135,ok,scenario=多摩西部直下地震; stored as an independent scenario layer,2026-09-03T23:24:19+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/5_keisokusinndo50m_tachikawadannsoutai.csv,計測震度50mメッシュ別_立川断層帯地震,hazard_seismic_50m_立川断層帯地震,Polygon (official 50m mesh-code rule),689135,ok,scenario=立川断層帯地震; stored as an independent scenario layer,2026-09-03T23:24:31+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
3,seismic,震度分布・液状化（令和4年度首都直下型地震等による東京の被害想定結果）,東京都総務局,CKAN metadata API + direct CSV download; header-classified,https://www.opendata.metro.tokyo.lg.jp/soumu/6_keisokusinndo50m_taisyoukanntou.csv,計測震度50mメッシュ別_大正関東地震,hazard_seismic_50m_大正関東地震,Polygon (official 50m mesh-code rule),806186,ok,scenario=大正関東地震; stored as an independent scenario layer,2026-09-03T23:24:46+09:00,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04
