record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
131024000000.0,末廣神社所蔵文書,中央区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131024000000.0,末廣神社所蔵文書,中央区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
93,一石橋迷子しらせ石標,中央区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
93,一石橋迷子しらせ石標,中央区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:10,永代橋,中央区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:10,永代橋,中央区,,,,,building_direct,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:113,日本橋,中央区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:113,日本橋,中央区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:20,勝鬨橋,中央区,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:20,勝鬨橋,中央区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:20,旧浜離宮庭園,中央区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:20,旧浜離宮庭園,中央区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131024000000.0,一石橋の親柱,中央区,,,,,building_direct,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
131024000000.0,海幸橋の親柱 附 橋梁竣工図面,中央区,,,,,building_direct,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
93,一石橋迷子しらせ石標,中央区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
official_export_003:20,旧浜離宮庭園,中央区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
official_export_003:20,旧浜離宮庭園,中央区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
131024000000.0,末廣神社所蔵文書,中央区,,,,,movable,2.909,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
93,一石橋迷子しらせ石標,中央区,,,,,point,0,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_001:10,永代橋,中央区,,,,,building_direct,1.734,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_001:113,日本橋,中央区,,,,,building_direct,0.083,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:20,旧浜離宮庭園,中央区,,,,,point,0.184,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
131024000000.0,南高橋,中央区,,,,,building_direct,8.14,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
93,一石橋迷子しらせ石標,中央区,,,,,point,4.606,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_001:10,永代橋,中央区,,,,,building_direct,3.59,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
