record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
195,哲学堂公園,中野区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
195,哲学堂公園,中野区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
2000000001,旧野方配水塔,中野区,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
2000000001,旧野方配水塔,中野区,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
52,庚申塔,中野区,,,,,movable,6,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
52,庚申塔,中野区,,,,,movable,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
69,成趣園の碑,中野区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
69,成趣園の碑,中野区,,,,,movable,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:47,哲学堂公園,新宿区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:47,哲学堂公園,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
69,成趣園の碑,中野区,,,,,movable,,,landslide,土砂災害警戒区域,landslide｜土砂災害警戒区域,hazard_sediment_warning_a33_polygon
195,哲学堂公園,中野区,,,,,point,3.351,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,3.351,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
195,哲学堂公園,中野区,,,,,point,2.259,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,2.259,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
195,哲学堂公園,中野区,,,,,point,2.778,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,2.778,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
195,哲学堂公園,中野区,,,,,point,4.79,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,4.872,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
52,庚申塔,中野区,,,,,movable,4.839,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
69,成趣園の碑,中野区,,,,,movable,4.776,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,4.872,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,4.777,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
195,哲学堂公園,中野区,,,,,point,5.847,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,5.917,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
52,庚申塔,中野区,,,,,movable,5.834,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
69,成趣園の碑,中野区,,,,,movable,5.768,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,5.917,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,5.837,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
195,哲学堂公園,中野区,,,,,point,5.345,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,5.413,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
52,庚申塔,中野区,,,,,movable,5.341,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
69,成趣園の碑,中野区,,,,,movable,5.369,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,5.413,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,5.337,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
195,哲学堂公園,中野区,,,,,point,5.496,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,5.554,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
52,庚申塔,中野区,,,,,movable,5.543,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
69,成趣園の碑,中野区,,,,,movable,5.508,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,5.554,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,5.488,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
195,哲学堂公園,中野区,,,,,point,4.869,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,4.936,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
52,庚申塔,中野区,,,,,movable,4.936,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
69,成趣園の碑,中野区,,,,,movable,4.813,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_002:172,旧野方配水塔,中野区,,,,,building_direct,4.936,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:47,哲学堂公園,新宿区,,,,,point,4.86,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
195,哲学堂公園,中野区,,,,,point,5.666,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
2000000001,旧野方配水塔,中野区,,,,,building_direct,5.722,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
52,庚申塔,中野区,,,,,movable,5.699,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
