record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
126,seismic,都心南部直下地震,5.827,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,片倉城跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
127,seismic,都心南部直下地震,6.006,6強以上,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,広園寺境域,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
184,seismic,都心南部直下地震,5.638,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,旧跡,point,原胤敦墓,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
215,seismic,都心南部直下地震,5.06,5強,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山のスギ並木,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
216,seismic,都心南部直下地震,5.06,5強,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山の飯盛スギ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:22,seismic,都心南部直下地震,5.754,6弱,,,13201,八王子市,National,Designated,記念物,天然記念物,point,椚田遺跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:27,seismic,都心南部直下地震,5.376,5強,,,13201,八王子市,National,Designated,記念物,天然記念物,point,小仏関跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:43,seismic,都心南部直下地震,5.186,5強,,,13201,八王子市,National,Designated,記念物,天然記念物,point,滝山城跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:57,seismic,都心南部直下地震,5.036,5強,,,13201,八王子市,National,Designated,記念物,天然記念物,point,八王子城跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:60,seismic,都心南部直下地震,5.65,6弱,,,13201,八王子市,National,Designated,記念物,天然記念物,point,船田石器時代遺跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
126,seismic,都心東部直下地震,5.677,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,片倉城跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
127,seismic,都心東部直下地震,5.774,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,広園寺境域,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
184,seismic,都心東部直下地震,5.605,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,旧跡,point,原胤敦墓,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
215,seismic,都心東部直下地震,4.932,5弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山のスギ並木,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
216,seismic,都心東部直下地震,4.932,5弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山の飯盛スギ,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:22,seismic,都心東部直下地震,5.638,6弱,,,13201,八王子市,National,Designated,記念物,天然記念物,point,椚田遺跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:27,seismic,都心東部直下地震,5.155,5強,,,13201,八王子市,National,Designated,記念物,天然記念物,point,小仏関跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:43,seismic,都心東部直下地震,5.19,5強,,,13201,八王子市,National,Designated,記念物,天然記念物,point,滝山城跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:57,seismic,都心東部直下地震,4.873,5弱,,,13201,八王子市,National,Designated,記念物,天然記念物,point,八王子城跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:60,seismic,都心東部直下地震,5.53,6弱,,,13201,八王子市,National,Designated,記念物,天然記念物,point,船田石器時代遺跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
126,seismic,都心西部直下地震,5.728,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,片倉城跡,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
127,seismic,都心西部直下地震,5.783,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,史跡,point,広園寺境域,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
184,seismic,都心西部直下地震,5.572,6弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,旧跡,point,原胤敦墓,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
215,seismic,都心西部直下地震,4.997,5弱,,,13201,八王子市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,髙尾山のスギ並木,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
