record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
132144100002,武蔵国分寺跡 附東山道武蔵路跡,国分寺市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100002,武蔵国分寺跡 附東山道武蔵路跡,国分寺市,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100004,殿ヶ谷戸庭園 (随冝園),国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100004,殿ヶ谷戸庭園 (随冝園),国分寺市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100011,真姿の池湧水群,国分寺市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100011,真姿の池湧水群,国分寺市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100015,土師竪穴住居跡,国分寺市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100015,土師竪穴住居跡,国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100018,祥応寺のコノテガシワ,国分寺市,,,,,point,6,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100018,祥応寺のコノテガシワ,国分寺市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100023,元文元年野中新田検地帳,国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100023,元文元年野中新田検地帳,国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132144100029,伝鎌倉街道,国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132144100029,伝鎌倉街道,国分寺市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
