record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
132152100011,伊藤単朴の墓,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132152100011,伊藤単朴の墓,国立市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132152100026,古民家(旧柳澤家住宅),国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132152100026,古民家(旧柳澤家住宅),国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132152100030,下谷保一号墳,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132152100030,下谷保一号墳,国立市,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132152100101,手水石(安政三年在銘),国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132152100101,手水石(安政三年在銘),国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
191,三田氏館跡,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
191,三田氏館跡,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
222,谷保天満宮社叢,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
222,谷保天満宮社叢,国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132152100011,伊藤単朴の墓,国立市,,,,,point,10.648,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
132152100011,伊藤単朴の墓,国立市,,,,,point,4.016,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
132152100011,伊藤単朴の墓,国立市,,,,,point,5.606,5<PL≤15,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
132152100011,伊藤単朴の墓,国立市,,,,,point,6.204,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
132152100011,伊藤単朴の墓,国立市,,,,,point,4.922,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132152100026,古民家(旧柳澤家住宅),国立市,,,,,point,4.913,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132152100030,下谷保一号墳,国立市,,,,,point,5.03,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132152100101,手水石(安政三年在銘),国立市,,,,,point,4.926,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
191,三田氏館跡,国立市,,,,,point,4.962,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
222,谷保天満宮社叢,国立市,,,,,point,5.038,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132152100011,伊藤単朴の墓,国立市,,,,,point,5.933,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132152100026,古民家(旧柳澤家住宅),国立市,,,,,point,5.912,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132152100030,下谷保一号墳,国立市,,,,,point,6.074,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132152100101,手水石(安政三年在銘),国立市,,,,,point,5.942,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
191,三田氏館跡,国立市,,,,,point,5.985,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
222,谷保天満宮社叢,国立市,,,,,point,6.114,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132152100011,伊藤単朴の墓,国立市,,,,,point,5.78,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132152100026,古民家(旧柳澤家住宅),国立市,,,,,point,5.745,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132152100030,下谷保一号墳,国立市,,,,,point,5.872,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132152100101,手水石(安政三年在銘),国立市,,,,,point,5.777,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
191,三田氏館跡,国立市,,,,,point,5.805,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
222,谷保天満宮社叢,国立市,,,,,point,5.888,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132152100011,伊藤単朴の墓,国立市,,,,,point,5.514,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
