record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
131075100025,銅造榎本武揚像,墨田区,,,,,movable,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100025,銅造榎本武揚像,墨田区,,,,,movable,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100063,石造墨堤永代常夜燈,墨田区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100063,石造墨堤永代常夜燈,墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100065,墨堤植桜之碑,墨田区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100065,墨堤植桜之碑,墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100091,義士墓(那珂湊戦争関連資料),墨田区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100091,義士墓(那珂湊戦争関連資料),墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100092,回向院の石造歴史災害供養塔群,墨田区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100092,回向院の石造歴史災害供養塔群,墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100109,正覚寺の石造庚申塔(青面金剛童子),墨田区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100109,正覚寺の石造庚申塔(青面金剛童子),墨田区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100133,江戸木目込人形づくり,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100133,江戸木目込人形づくり,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100137,ガラス工芸(江戸切子),墨田区,,,,,movable,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100137,ガラス工芸(江戸切子),墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100139,江戸小紋,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100139,江戸小紋,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100141,江戸小紋,墨田区,,,,,movable,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100141,江戸小紋,墨田区,,,,,movable,6,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100144,藍染(長板中形),墨田区,,,,,movable,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100144,藍染(長板中形),墨田区,,,,,movable,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100147,江戸表具,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100147,江戸表具,墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100148,表装(屏風づくり),墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100148,表装(屏風づくり),墨田区,,,,,movable,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131075100157,墨堤の桜,墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131075100157,墨堤の桜,墨田区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
131083000000.0,五間堀跡,江東区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
131083000000.0,五間堀跡,江東区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
171,赤穂浪士元禄義挙の跡,墨田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
