record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
140,seismic,都心南部直下地震,5.147,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
141,seismic,都心南部直下地震,5.79,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
142,seismic,都心南部直下地震,5.677,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
223,seismic,都心南部直下地震,5.686,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:109,seismic,都心南部直下地震,5.638,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:146,seismic,都心南部直下地震,5.633,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:163,seismic,都心南部直下地震,5.899,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:164,seismic,都心南部直下地震,5.899,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
140,seismic,都心東部直下地震,5.292,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
141,seismic,都心東部直下地震,5.539,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
142,seismic,都心東部直下地震,5.592,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
223,seismic,都心東部直下地震,5.695,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:109,seismic,都心東部直下地震,5.592,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:146,seismic,都心東部直下地震,5.586,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:163,seismic,都心東部直下地震,5.632,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:164,seismic,都心東部直下地震,5.632,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
140,seismic,都心西部直下地震,5.288,5強,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
141,seismic,都心西部直下地震,5.698,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
142,seismic,都心西部直下地震,5.784,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
223,seismic,都心西部直下地震,5.876,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:109,seismic,都心西部直下地震,5.689,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:146,seismic,都心西部直下地震,5.686,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:163,seismic,都心西部直下地震,5.756,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:164,seismic,都心西部直下地震,5.756,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
140,seismic,多摩東部直下地震,5.822,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
141,seismic,多摩東部直下地震,5.8892,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
142,seismic,多摩東部直下地震,6.076,6強以上,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
223,seismic,多摩東部直下地震,5.936,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:109,seismic,多摩東部直下地震,5.8362,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:146,seismic,多摩東部直下地震,5.8286,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:163,seismic,多摩東部直下地震,5.972,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:164,seismic,多摩東部直下地震,5.972,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
140,seismic,多摩西部直下地震,5.864,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
141,seismic,多摩西部直下地震,5.747,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
142,seismic,多摩西部直下地震,5.816,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
223,seismic,多摩西部直下地震,5.743,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:109,seismic,多摩西部直下地震,5.704,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:146,seismic,多摩西部直下地震,5.697,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧川井家住宅土蔵,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:163,seismic,多摩西部直下地震,5.76,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房主屋兼作業場,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:164,seismic,多摩西部直下地震,5.76,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,旧辻󠄀陶房登り窯,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
140,seismic,立川断層帯地震,5.876,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,稲荷塚古墳,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
141,seismic,立川断層帯地震,5.844,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,霞ノ関南木戸柵跡,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
142,seismic,立川断層帯地震,5.979,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩ニュータウンNo.57遺跡,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
223,seismic,立川断層帯地震,5.786,6弱,,,13224,多摩市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,平久保のシイ,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:109,seismic,立川断層帯地震,5.655,6弱,,,13224,多摩市,National,Registered,有形文化財,建造物,building_direct,川井家住宅主屋,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
