record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
112,seismic,都心南部直下地震,6.345,6強以上,,,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,奥絵師狩野家墓所,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
113,seismic,都心南部直下地震,6.124,6強以上,,,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,宝?山古墳,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
114,seismic,都心南部直下地震,6.097,6強以上,,,13111,大田区,Tokyo Metropolitan,Designated,記念物,史跡,point,多摩川台古墳群,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
175,seismic,都心南部直下地震,6.151,6強以上,,,13111,大田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,日蓮上人入滅の旧跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:3,seismic,都心南部直下地震,6.151,6強以上,,,13111,大田区,National,Designated,有形文化財,建造物,building_direct,池上本門寺宝塔,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:131,seismic,都心南部直下地震,6.144,6強以上,,,13111,大田区,National,Designated,有形文化財,建造物,building_direct,本門寺五重塔,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:35,seismic,都心南部直下地震,6.215,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,伊藤家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:47,seismic,都心南部直下地震,6.14,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,位田家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:77,seismic,都心南部直下地震,6.053,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,御嶽神社社務所,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:78,seismic,都心南部直下地震,6.053,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,御嶽神社水行堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:79,seismic,都心南部直下地震,6.034,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,御嶽神社末社一山神社祖霊社,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:98,seismic,都心南部直下地震,6.02,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,数江家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:111,seismic,都心南部直下地震,6.205,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,河原家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:149,seismic,都心南部直下地震,6.465,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,旧川端龍子邸主屋及び中門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:150,seismic,都心南部直下地震,6.203,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,旧川端龍子邸画室,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:151,seismic,都心南部直下地震,6.465,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,旧川端龍子邸持仏堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:152,seismic,都心南部直下地震,6.465,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,旧川端龍子邸仏間棟,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:160,seismic,都心南部直下地震,5.893,6弱,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,旧清明文庫,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:247,seismic,都心南部直下地震,6.403,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,実相寺本堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:248,seismic,都心南部直下地震,6.453,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,実相寺門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:261,seismic,都心南部直下地震,5.888,6弱,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,松風荘主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:262,seismic,都心南部直下地震,6.08,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,松風荘待合,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:263,seismic,都心南部直下地震,5.84,6弱,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,松風荘門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:264,seismic,都心南部直下地震,6.057,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,昭和のくらし博物館(旧小泉家住宅主屋),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:296,seismic,都心南部直下地震,6.19,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,高橋診療所,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:302,seismic,都心南部直下地震,6.14,6強以上,,,13111,大田区,National,Registered,有形文化財,建造物,building_direct,竹中家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
