record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
113,宝?山古墳,大田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
113,宝?山古墳,大田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
114,多摩川台古墳群,大田区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
114,多摩川台古墳群,大田区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
175,日蓮上人入滅の旧跡,大田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
175,日蓮上人入滅の旧跡,大田区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:13,亀甲山古墳,大田区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:13,亀甲山古墳,大田区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
175,日蓮上人入滅の旧跡,大田区,,,,,point,2.23,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:13,亀甲山古墳,大田区,,,,,point,0.546,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
175,日蓮上人入滅の旧跡,大田区,,,,,point,10.275,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:13,亀甲山古墳,大田区,,,,,point,3.947,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
175,日蓮上人入滅の旧跡,大田区,,,,,point,10.845,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:13,亀甲山古墳,大田区,,,,,point,3.61,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
175,日蓮上人入滅の旧跡,大田区,,,,,point,11.73,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:13,亀甲山古墳,大田区,,,,,point,4.467,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
113,宝?山古墳,大田区,,,,,point,5.006,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
114,多摩川台古墳群,大田区,,,,,point,4.982,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
175,日蓮上人入滅の旧跡,大田区,,,,,point,4.87,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:13,亀甲山古墳,大田区,,,,,point,4.995,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
