record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
132152100110,馬頭観音塔(安政五年在銘),国立市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132152100110,馬頭観音塔(安政五年在銘),国立市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
186,府中高札場,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
186,府中高札場,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
187,川崎定孝墓,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
187,川崎定孝墓,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
21,大国魂神社本殿,府中市,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
21,大国魂神社本殿,府中市,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
62,蓮華形磬,府中市,,,,,movable,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
62,蓮華形磬,府中市,,,,,movable,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:58,馬場大門のケヤキ並木,府中市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:58,馬場大門のケヤキ並木,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:66,武蔵国府跡,府中市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:66,武蔵国府跡,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:68,武蔵府中熊野神社古墳,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:68,武蔵府中熊野神社古墳,府中市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
187,川崎定孝墓,府中市,,,,,point,0.568,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
62,蓮華形磬,府中市,,,,,movable,0.066,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
187,川崎定孝墓,府中市,,,,,point,9.761,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
62,蓮華形磬,府中市,,,,,movable,1.73,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
187,川崎定孝墓,府中市,,,,,point,7.045,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
62,蓮華形磬,府中市,,,,,movable,1.394,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
187,川崎定孝墓,府中市,,,,,point,2.455,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
62,蓮華形磬,府中市,,,,,movable,0.897,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
187,川崎定孝墓,府中市,,,,,point,9.407,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
62,蓮華形磬,府中市,,,,,movable,1.671,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
132152100110,馬頭観音塔(安政五年在銘),国立市,,,,,point,5.067,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
186,府中高札場,府中市,,,,,point,4.972,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
187,川崎定孝墓,府中市,,,,,point,4.994,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
21,大国魂神社本殿,府中市,,,,,building_direct,4.967,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
62,蓮華形磬,府中市,,,,,movable,5.049,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:58,馬場大門のケヤキ並木,府中市,,,,,point,4.962,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:66,武蔵国府跡,府中市,,,,,point,4.968,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:68,武蔵府中熊野神社古墳,府中市,,,,,point,5.033,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
