record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
official_export_002:358,東京地下鉄丸ノ内線御茶ノ水駅出入口上家,文京区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_002:358,東京地下鉄丸ノ内線御茶ノ水駅出入口上家,文京区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:23,小石川後楽園,文京区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:23,小石川後楽園,文京区,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:40,高島秋帆墓,文京区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:40,高島秋帆墓,文京区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:70,弥生二丁目遺跡,文京区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:70,弥生二丁目遺跡,文京区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:71,湯島聖堂,文京区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:71,湯島聖堂,文京区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:73,六義園,文京区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:73,六義園,文京区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:8,大塚先儒墓所,文京区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:8,大塚先儒墓所,文京区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:70,弥生二丁目遺跡,文京区,,,,,point,,,landslide,土砂災害警戒区域,landslide｜土砂災害警戒区域,hazard_sediment_warning_a33_polygon
official_export_003:23,小石川後楽園,文京区,,,,,point,0.233,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:70,弥生二丁目遺跡,文京区,,,,,point,3.34,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:71,湯島聖堂,文京区,,,,,point,0.837,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:8,大塚先儒墓所,文京区,,,,,point,0.175,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:23,小石川後楽園,文京区,,,,,point,5.067,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:70,弥生二丁目遺跡,文京区,,,,,point,9.648,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:71,湯島聖堂,文京区,,,,,point,5.303,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:73,六義園,文京区,,,,,point,10.932,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:8,大塚先儒墓所,文京区,,,,,point,9.273,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
