record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
13104:109,善国寺の石虎,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:109,善国寺の石虎,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:113,塞神三柱の塔,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:113,塞神三柱の塔,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:115,慈雲山観音寺の庚申塔,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:115,慈雲山観音寺の庚申塔,新宿区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:116,下落合二丁目の庚申塔,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:116,下落合二丁目の庚申塔,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:117,旧源兵衛村の庚申塔,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:117,旧源兵衛村の庚申塔,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:126,上落合餅つき唄,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:126,上落合餅つき唄,新宿区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:129,服部半蔵の墓,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:129,服部半蔵の墓,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:130,小泉八雲旧居跡,新宿区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
13104:130,小泉八雲旧居跡,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
13104:137,田村虎蔵旧居跡,新宿区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
