record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
219,拝島のフジ,昭島市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
219,拝島のフジ,昭島市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
219,拝島のフジ,昭島市,,,,,point,1.621,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
219,拝島のフジ,昭島市,,,,,point,0.383,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
219,拝島のフジ,昭島市,,,,,point,1.257,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
219,拝島のフジ,昭島市,,,,,point,0.067,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
219,拝島のフジ,昭島市,,,,,point,4.882,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
219,拝島のフジ,昭島市,,,,,point,5.867,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
219,拝島のフジ,昭島市,,,,,point,5.979,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
219,拝島のフジ,昭島市,,,,,point,5.42,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
219,拝島のフジ,昭島市,,,,,point,6.367,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
219,拝島のフジ,昭島市,,,,,point,5.308,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
219,拝島のフジ,昭島市,,,,,point,5.323,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
219,拝島のフジ,昭島市,,,,,point,5.421,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
