record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
7,seismic,都心南部直下地震,5.876,6弱,,,13115,杉並区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,妙法寺祖師堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
8,seismic,都心南部直下地震,5.697,6弱,,,13115,杉並区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,妙法寺書院(御成間),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
9,seismic,都心南部直下地震,5.788,6弱,,,13115,杉並区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,妙法寺仁王門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
131156000000.0,seismic,都心南部直下地震,6.163,6強以上,,,13115,杉並区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,寛文四年銘聖観音庚申供養塔,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:141,seismic,都心南部直下地震,5.96,6弱,,,13115,杉並区,National,Designated,有形文化財,建造物,building_direct,妙法寺鉄門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:16,seismic,都心南部直下地震,5.918,6弱,,,13115,杉並区,National,Registered,有形文化財,建造物,building_direct,井草幼稚園園舎,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:34,seismic,都心南部直下地震,5.921,6弱,,,13115,杉並区,National,Registered,有形文化財,建造物,building_direct,伊藤家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:69,seismic,都心南部直下地震,6.025,6強以上,,,13115,杉並区,National,Registered,有形文化財,建造物,building_direct,岡田日帰上人記念講堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:142,seismic,都心南部直下地震,6.201,6強以上,,,13115,杉並区,National,Registered,有形文化財,建造物,building_direct,旧大田黒家住宅蔵,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:143,seismic,都心南部直下地震,6.196,6強以上,,,13115,杉並区,National,Registered,有形文化財,建造物,building_direct,旧大田黒家住宅洋館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
