record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
1.32209E+11,seismic,都心南部直下地震,5.772,6弱,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:187,seismic,都心南部直下地震,5.719,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:188,seismic,都心南部直下地震,5.447,5強,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:189,seismic,都心南部直下地震,5.719,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅中門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:190,seismic,都心南部直下地震,5.447,5強,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅長屋門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
1.32209E+11,seismic,都心東部直下地震,5.856,6弱,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:187,seismic,都心東部直下地震,5.861,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:188,seismic,都心東部直下地震,5.598,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:189,seismic,都心東部直下地震,5.861,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅中門,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:190,seismic,都心東部直下地震,5.598,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅長屋門,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
1.32209E+11,seismic,都心西部直下地震,6.002,6強以上,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:187,seismic,都心西部直下地震,5.989,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:188,seismic,都心西部直下地震,5.726,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:189,seismic,都心西部直下地震,5.989,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅中門,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:190,seismic,都心西部直下地震,5.726,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅長屋門,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
1.32209E+11,seismic,多摩東部直下地震,6.2218,6強以上,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:187,seismic,多摩東部直下地震,6.1774,6強以上,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:188,seismic,多摩東部直下地震,5.9048,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:189,seismic,多摩東部直下地震,6.1774,6強以上,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅中門,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:190,seismic,多摩東部直下地震,5.9048,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅長屋門,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
1.32209E+11,seismic,多摩西部直下地震,6.016,6強以上,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:187,seismic,多摩西部直下地震,6.007,6強以上,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:188,seismic,多摩西部直下地震,5.751,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:189,seismic,多摩西部直下地震,6.007,6強以上,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅中門,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:190,seismic,多摩西部直下地震,5.751,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅長屋門,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
1.32209E+11,seismic,立川断層帯地震,6.569,6強以上,,,13220,東大和市,Tokyo Metropolitan,Unknown,有形文化財,建造物,building_direct,豊鹿島神社本殿(附棟札),想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:187,seismic,立川断層帯地震,6.043,6強以上,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅蔵,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:188,seismic,立川断層帯地震,5.805,6弱,,,13220,東大和市,National,Registered,有形文化財,建造物,building_direct,旧吉岡家住宅主屋兼アトリエ,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
