record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
1.32209E+11,八幡谷戸遺跡,東大和市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
1.32209E+11,名号塔婆,東大和市,,,,,point,0.16,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
1.32209E+11,名号塔婆,東大和市,,,,,point,3.47,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
1.32209E+11,名号塔婆,東大和市,,,,,point,2.23,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
1.32209E+11,名号塔婆,東大和市,,,,,point,2.79,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
1.32209E+11,名号塔婆,東大和市,,,,,point,2.58,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,5.08,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,6.251,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,6.087,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,5.713,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,6.111,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,5.792,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,5.951,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
1.32209E+11,庚申塔(清水3丁目),東大和市,,,,,point,6.051,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
