record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100003,万年橋のケヤキ,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100003,万年橋のケヤキ,東村山市,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100007,武藤良由碑,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100007,武藤良由碑,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100012,鎌倉古街道,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100012,鎌倉古街道,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100014,一石六地蔵,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100014,一石六地蔵,東村山市,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100019,富田家の宝篋印塔,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100019,富田家の宝篋印塔,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100021,東村山停車場の碑,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100021,東村山停車場の碑,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100025,久米川の富士塚,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100025,久米川の富士塚,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
132136100014,一石六地蔵,東村山市,,,,,point,9.239,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
132136100025,久米川の富士塚,東村山市,,,,,point,7.03,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
132136100014,一石六地蔵,東村山市,,,,,point,2.131,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
132136100025,久米川の富士塚,東村山市,,,,,point,3.173,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
132136100014,一石六地蔵,東村山市,,,,,point,0.846,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
132136100025,久米川の富士塚,東村山市,,,,,point,2.852,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
132136100014,一石六地蔵,東村山市,,,,,point,5.215,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
132136100025,久米川の富士塚,東村山市,,,,,point,4.622,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,5.012,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,4.89,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100007,武藤良由碑,東村山市,,,,,point,4.961,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100012,鎌倉古街道,東村山市,,,,,point,5.059,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100014,一石六地蔵,東村山市,,,,,point,4.928,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,5.205,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,4.835,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100021,東村山停車場の碑,東村山市,,,,,point,4.962,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,4.966,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,5.014,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100025,久米川の富士塚,東村山市,,,,,point,5.015,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,4.988,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,6.078,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,6.043,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100007,武藤良由碑,東村山市,,,,,point,6.054,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100012,鎌倉古街道,東村山市,,,,,point,6.267,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100014,一石六地蔵,東村山市,,,,,point,5.923,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,6.241,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.819,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100021,東村山停車場の碑,東村山市,,,,,point,6.117,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,6.124,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,6.135,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100025,久米川の富士塚,東村山市,,,,,point,6.088,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,6.023,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,5.966,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,5.81,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100007,武藤良由碑,東村山市,,,,,point,5.937,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100012,鎌倉古街道,東村山市,,,,,point,6.048,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100014,一石六地蔵,東村山市,,,,,point,5.836,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,6.164,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.768,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100021,東村山停車場の碑,東村山市,,,,,point,5.911,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,5.917,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,5.962,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100025,久米川の富士塚,東村山市,,,,,point,5.956,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,5.934,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,5.561,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,5.416,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100007,武藤良由碑,東村山市,,,,,point,5.479,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100012,鎌倉古街道,東村山市,,,,,point,5.63,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100014,一石六地蔵,東村山市,,,,,point,5.447,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,5.724,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.325,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100021,東村山停車場の碑,東村山市,,,,,point,5.48,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,5.484,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,5.565,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100025,久米川の富士塚,東村山市,,,,,point,5.587,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,5.546,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,6.024,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,5.718,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100007,武藤良由碑,東村山市,,,,,point,6.054,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100012,鎌倉古街道,東村山市,,,,,point,6.078,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100014,一石六地蔵,東村山市,,,,,point,5.752,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,6.329,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.953,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100021,東村山停車場の碑,東村山市,,,,,point,5.956,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,5.957,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,6.013,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100025,久米川の富士塚,東村山市,,,,,point,5.981,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,6.029,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,5.716,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,5.61,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100007,武藤良由碑,東村山市,,,,,point,5.615,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100012,鎌倉古街道,東村山市,,,,,point,5.792,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100014,一石六地蔵,東村山市,,,,,point,5.618,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,5.812,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.432,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100021,東村山停車場の碑,東村山市,,,,,point,5.634,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,5.635,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100023,白山神社の牛頭天王像,東村山市,,,,,point,5.717,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100025,久米川の富士塚,東村山市,,,,,point,5.737,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100031,東京陸軍少年通信兵学校跡地,東村山市,,,,,point,5.695,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
132136100002,浅間塚 ・ 境塚,東村山市,,,,,point,5.901,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100003,万年橋のケヤキ,東村山市,,,,,point,5.762,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100007,武藤良由碑,東村山市,,,,,point,5.792,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100012,鎌倉古街道,東村山市,,,,,point,5.967,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100014,一石六地蔵,東村山市,,,,,point,5.711,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100019,富田家の宝篋印塔,東村山市,,,,,point,5.971,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100020,赤坂の庚申塔付6基,東村山市,,,,,point,5.566,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100021,東村山停車場の碑,東村山市,,,,,point,5.817,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
132136100022,八坂神社の大獅子頭,東村山市,,,,,point,5.824,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
