record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
121,茂呂遺跡,板橋区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
121,茂呂遺跡,板橋区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
177,徳丸ケ原,板橋区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
177,徳丸ケ原,板橋区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
178,松月院大堂,板橋区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
178,松月院大堂,板橋区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
177,徳丸ケ原,板橋区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
177,徳丸ケ原,板橋区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
121,茂呂遺跡,板橋区,,,,,point,0.056,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
177,徳丸ケ原,板橋区,,,,,point,4.944,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
121,茂呂遺跡,板橋区,,,,,point,14.31,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
177,徳丸ケ原,板橋区,,,,,point,13.182,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
121,茂呂遺跡,板橋区,,,,,point,8.37,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
177,徳丸ケ原,板橋区,,,,,point,10.915,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
177,徳丸ケ原,板橋区,,,,,point,0.519,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
121,茂呂遺跡,板橋区,,,,,point,12.568,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
177,徳丸ケ原,板橋区,,,,,point,13.108,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
121,茂呂遺跡,板橋区,,,,,point,4.83,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
177,徳丸ケ原,板橋区,,,,,point,5.368,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
178,松月院大堂,板橋区,,,,,point,4.869,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
121,茂呂遺跡,板橋区,,,,,point,5.923,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
177,徳丸ケ原,板橋区,,,,,point,6.257,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
178,松月院大堂,板橋区,,,,,point,5.872,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
121,茂呂遺跡,板橋区,,,,,point,5.296,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
177,徳丸ケ原,板橋区,,,,,point,5.954,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
178,松月院大堂,板橋区,,,,,point,5.475,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
121,茂呂遺跡,板橋区,,,,,point,5.441,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
177,徳丸ケ原,板橋区,,,,,point,5.943,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
178,松月院大堂,板橋区,,,,,point,5.47,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
121,茂呂遺跡,板橋区,,,,,point,4.76,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
177,徳丸ケ原,板橋区,,,,,point,5.547,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
178,松月院大堂,板橋区,,,,,point,4.93,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
121,茂呂遺跡,板橋区,,,,,point,5.817,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
177,徳丸ケ原,板橋区,,,,,point,6.246,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
178,松月院大堂,板橋区,,,,,point,5.804,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
121,茂呂遺跡,板橋区,,,,,point,5.794,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
177,徳丸ケ原,板橋区,,,,,point,6.158,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
178,松月院大堂,板橋区,,,,,point,5.738,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
