record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
203,seismic,都心南部直下地震,4.779,5弱,,,13307,檜原村,Tokyo Metropolitan,Designated,記念物,名勝,point,三頭大滝,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:64,seismic,都心南部直下地震,4.897,5弱,,,13307,檜原村,National,Designated,有形文化財,建造物,building_direct,小林家住宅(東京都西多摩郡檜原村),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:162,seismic,都心南部直下地震,5.1,5強,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,旧高橋家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:254,seismic,都心南部直下地震,4.837,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,蛇の湯温泉たから荘,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:373,seismic,都心南部直下地震,4.836,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,中村家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:429,seismic,都心南部直下地震,4.884,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,峯岸家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
203,seismic,都心東部直下地震,4.527,5弱,,,13307,檜原村,Tokyo Metropolitan,Designated,記念物,名勝,point,三頭大滝,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:64,seismic,都心東部直下地震,4.686,5弱,,,13307,檜原村,National,Designated,有形文化財,建造物,building_direct,小林家住宅(東京都西多摩郡檜原村),想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:162,seismic,都心東部直下地震,4.753,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,旧高橋家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:254,seismic,都心東部直下地震,4.553,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,蛇の湯温泉たから荘,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:373,seismic,都心東部直下地震,4.553,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,中村家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:429,seismic,都心東部直下地震,4.707,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,峯岸家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
203,seismic,都心西部直下地震,4.581,5弱,,,13307,檜原村,Tokyo Metropolitan,Designated,記念物,名勝,point,三頭大滝,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_001:64,seismic,都心西部直下地震,4.761,5弱,,,13307,檜原村,National,Designated,有形文化財,建造物,building_direct,小林家住宅(東京都西多摩郡檜原村),想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:162,seismic,都心西部直下地震,4.859,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,旧高橋家住宅主屋,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:254,seismic,都心西部直下地震,4.65,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,蛇の湯温泉たから荘,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:373,seismic,都心西部直下地震,4.644,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,中村家住宅主屋,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:429,seismic,都心西部直下地震,4.776,5弱,,,13307,檜原村,National,Registered,有形文化財,建造物,building_direct,峯岸家住宅主屋,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
203,seismic,多摩東部直下地震,5.3268,5強,,,13307,檜原村,Tokyo Metropolitan,Designated,記念物,名勝,point,三頭大滝,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_001:64,seismic,多摩東部直下地震,5.4198,5強,,,13307,檜原村,National,Designated,有形文化財,建造物,building_direct,小林家住宅(東京都西多摩郡檜原村),想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
