record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
203,三頭大滝,檜原村,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
203,三頭大滝,檜原村,,,,,point,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
203,三頭大滝,檜原村,,,,,point,,,landslide,土砂災害警戒区域,landslide｜土砂災害警戒区域,hazard_sediment_warning_a33_polygon
203,三頭大滝,檜原村,,,,,point,5.132,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
203,三頭大滝,檜原村,,,,,point,5.327,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
203,三頭大滝,檜原村,,,,,point,5.573,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
203,三頭大滝,檜原村,,,,,point,4.902,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
203,三頭大滝,檜原村,,,,,point,4.64,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
203,三頭大滝,檜原村,,,,,point,4.779,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
203,三頭大滝,檜原村,,,,,point,4.527,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
203,三頭大滝,檜原村,,,,,point,4.581,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
