hazard_type,scenario,layer_name,display_name,source_kind
fire,延焼危険度,hazard_fire_spread_mesh250,延焼危険度,layer
fire,延焼危険度,hazard_fire_spread_town,延焼危険度,layer
high_tide,高潮,hazard_storm_surge_depth,高潮,layer
high_tide,高潮,hazard_storm_surge_duration,高潮,layer
high_tide,高潮,hazard_storm_surge_house_collapse,高潮,layer
landslide,土砂災害警戒区域,hazard_sediment_warning_a33_polygon,土砂災害｜土砂災害警戒区域,layer
landslide,砂防指定地,hazard_sabo_designated_a52_polygon,土砂災害｜砂防指定地,layer
liquefaction,南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震,液状化｜南海トラフ巨大地震,scenario_value
liquefaction,多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震,液状化｜多摩東部直下地震,scenario_value
liquefaction,大正関東地震,hazard_liquefaction_250m_大正関東地震,液状化｜大正関東地震,scenario_value
liquefaction,立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震,液状化｜立川断層帯地震,scenario_value
liquefaction,都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震,液状化｜都心南部直下地震,scenario_value
seismic,南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,layer
seismic,多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震,想定震度｜多摩東部直下地震,layer
seismic,多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震,想定震度｜多摩西部直下地震,layer
seismic,大正関東地震,hazard_seismic_50m_大正関東地震,想定震度｜大正関東地震,layer
seismic,立川断層帯地震,hazard_seismic_50m_立川断層帯地震,想定震度｜立川断層帯地震,layer
seismic,都心南部直下地震,hazard_seismic_50m_都心南部直下地震,想定震度｜都心南部直下地震,layer
seismic,都心東部直下地震,hazard_seismic_50m_都心東部直下地震,想定震度｜都心東部直下地震,layer
seismic,都心西部直下地震,hazard_seismic_50m_都心西部直下地震,想定震度｜都心西部直下地震,layer
tsunami,arrival_三宅島_南海トラフ巨大地震_ケース1,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース1,津波｜arrival_三宅島_南海トラフ巨大地震_ケース1,layer
tsunami,arrival_三宅島_南海トラフ巨大地震_ケース2,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース2,津波｜arrival_三宅島_南海トラフ巨大地震_ケース2,layer
tsunami,arrival_三宅島_南海トラフ巨大地震_ケース5,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース5,津波｜arrival_三宅島_南海トラフ巨大地震_ケース5,layer
tsunami,arrival_三宅島_南海トラフ巨大地震_ケース6,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース6,津波｜arrival_三宅島_南海トラフ巨大地震_ケース6,layer
tsunami,arrival_三宅島_南海トラフ巨大地震_ケース8,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース8,津波｜arrival_三宅島_南海トラフ巨大地震_ケース8,layer
tsunami,arrival_三宅島_大正関東地震,hazard_tsunami_arrival_三宅島_大正関東地震,津波｜arrival_三宅島_大正関東地震,layer
