record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
105,seismic,都心南部直下地震,5.948,6弱,,,13113,渋谷区,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,千駄ケ谷の冨士塚,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:2,seismic,都心南部直下地震,6.175,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧朝倉家住宅,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:32,seismic,都心南部直下地震,6.175,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧朝倉家住宅,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:36,seismic,都心南部直下地震,6.151,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧久邇宮邸(聖心女子大学),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:143,seismic,都心南部直下地震,6.007,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:167,seismic,都心南部直下地震,6.007,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:179,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:180,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:181,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:182,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:183,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:184,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:185,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:186,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:187,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:188,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:189,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:190,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:191,seismic,都心南部直下地震,6.028,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:195,seismic,都心南部直下地震,6.142,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,代々木競技場,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:196,seismic,都心南部直下地震,6.106,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,代々木競技場,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:2,seismic,都心南部直下地震,6.197,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,青山学院ベリーホール,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:3,seismic,都心南部直下地震,6.207,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,青山学院間島記念館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:76,seismic,都心南部直下地震,6.236,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,温故学会会館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:249,seismic,都心南部直下地震,6.205,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,渋谷区立広尾小学校,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:257,seismic,都心南部直下地震,6.125,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,上宮寺鐘楼,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:258,seismic,都心南部直下地震,6.126,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,上宮寺本堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:259,seismic,都心南部直下地震,6.126,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,上宮寺本堂応接部,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:434,seismic,都心南部直下地震,6.219,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,ミュージアム1999(旧千葉常五郎邸),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:475,seismic,都心南部直下地震,5.969,6弱,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,代々木能舞台敷舞台及び座敷,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:476,seismic,都心南部直下地震,5.969,6弱,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,代々木能舞台舞台・橋掛・鏡の間,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
105,seismic,都心東部直下地震,5.899,6弱,,,13113,渋谷区,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,千駄ケ谷の冨士塚,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:2,seismic,都心東部直下地震,6.036,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧朝倉家住宅,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:32,seismic,都心東部直下地震,6.036,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧朝倉家住宅,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:36,seismic,都心東部直下地震,6.067,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,旧久邇宮邸(聖心女子大学),想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:143,seismic,都心東部直下地震,5.908,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:167,seismic,都心東部直下地震,5.908,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:179,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:180,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:181,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:182,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:183,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:184,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:185,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:186,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:187,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:188,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:189,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:190,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:191,seismic,都心東部直下地震,5.976,6弱,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,明治神宮宝物殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:195,seismic,都心東部直下地震,6.033,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,代々木競技場,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_001:196,seismic,都心東部直下地震,6.011,6強以上,,,13113,渋谷区,National,Designated,有形文化財,建造物,building_direct,代々木競技場,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:2,seismic,都心東部直下地震,6.118,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,青山学院ベリーホール,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:3,seismic,都心東部直下地震,6.123,6強以上,,,13113,渋谷区,National,Registered,有形文化財,建造物,building_direct,青山学院間島記念館,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
