record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
official_export_001:127,武家屋敷門,港区,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:127,武家屋敷門,港区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:138,三井本館,中央区,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:138,三井本館,中央区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,1,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_002:267,心光院表門,港区,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_002:267,心光院表門,港区,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:11,荻生徂徠墓,港区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:11,荻生徂徠墓,港区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:17,旧芝離宮庭園,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:17,旧芝離宮庭園,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:18,旧白金御料地,品川区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:29,佐藤一斎墓,港区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:29,佐藤一斎墓,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:33,品川台場,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:38,善福寺のイチョウ,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:38,善福寺のイチョウ,港区,,,,,point,2,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
official_export_003:17,旧芝離宮庭園,港区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
official_export_003:17,旧芝離宮庭園,港区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,0.029,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_002:267,心光院表門,港区,,,,,building_direct,0.123,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,0.233,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,1.898,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_003:33,品川台場,港区,,,,,point,0.143,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,10.572,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,2.993,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,9.108,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.705,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:33,品川台場,港区,,,,,point,2.301,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,0.934,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,10.451,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_002:267,心光院表門,港区,,,,,building_direct,2.78,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,9.108,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.666,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:33,品川台場,港区,,,,,point,2.232,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,0.727,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,0.001,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,14.343,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,3.59,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,12.847,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,7.607,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:33,品川台場,港区,,,,,point,2.482,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,1.591,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,4.891,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_001:138,三井本館,中央区,,,,,building_direct,4.891,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,4.734,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_002:267,心光院表門,港区,,,,,building_direct,4.756,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,4.966,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,5.252,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:18,旧白金御料地,品川区,,,,,point,4.829,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,4.814,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:33,品川台場,港区,,,,,point,4.915,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,4.904,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,5.93,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_001:138,三井本館,中央区,,,,,building_direct,5.93,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.642,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,5.707,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,5.885,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.116,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:18,旧白金御料地,品川区,,,,,point,5.827,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,5.833,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:33,品川台場,港区,,,,,point,5.975,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,5.847,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,5.598,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_001:138,三井本館,中央区,,,,,building_direct,5.598,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.399,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,5.451,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,5.641,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,5.867,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:18,旧白金御料地,品川区,,,,,point,5.523,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,5.534,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:33,品川台場,港区,,,,,point,5.579,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,5.607,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,5.706,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_001:138,三井本館,中央区,,,,,building_direct,5.706,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.636,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_002:267,心光院表門,港区,,,,,building_direct,5.622,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,5.883,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.097,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:18,旧白金御料地,品川区,,,,,point,5.75,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,5.66,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:33,品川台場,港区,,,,,point,5.902,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,5.78,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,4.809,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_001:138,三井本館,中央区,,,,,building_direct,4.809,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,4.64,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_002:267,心光院表門,港区,,,,,building_direct,4.701,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,4.924,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,5.099,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:18,旧白金御料地,品川区,,,,,point,4.885,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,4.814,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:33,品川台場,港区,,,,,point,4.895,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,4.927,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,6.061,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_001:138,三井本館,中央区,,,,,building_direct,6.061,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.961,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,5.973,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,6.22,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.434,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:18,旧白金御料地,品川区,,,,,point,6.102,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,6.02,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:33,品川台場,港区,,,,,point,6.113,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,6.162,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,6.012,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_001:138,三井本館,中央区,,,,,building_direct,6.012,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.985,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,6.037,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,6.176,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.423,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:18,旧白金御料地,品川区,,,,,point,5.923,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,6.024,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:33,品川台場,港区,,,,,point,6.142,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,6.115,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_001:127,武家屋敷門,港区,,,,,building_direct,5.95,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_001:138,三井本館,中央区,,,,,building_direct,5.95,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_001:98,旧台徳院霊廟惣門,港区,,,,,building_direct,5.812,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_002:267,心光院表門,港区,,,,,building_direct,5.841,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:11,荻生徂徠墓,港区,,,,,point,6.011,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:17,旧芝離宮庭園,港区,,,,,point,6.287,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:18,旧白金御料地,品川区,,,,,point,5.972,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:29,佐藤一斎墓,港区,,,,,point,5.941,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:33,品川台場,港区,,,,,point,6.029,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:38,善福寺のイチョウ,港区,,,,,point,5.985,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
