record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
1,泉龍寺弁財天池,狛江市,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
1,泉龍寺弁財天池,狛江市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
15,土屋塚古墳,狛江市,,,,,point,6,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
15,土屋塚古墳,狛江市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
21,猪方小川塚古墳,狛江市,,,,,point,7,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
21,猪方小川塚古墳,狛江市,,,,,point,8,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
1,泉龍寺弁財天池,狛江市,,,,,point,1.948,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
21,猪方小川塚古墳,狛江市,,,,,point,2.51,0<PL≤5,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
1,泉龍寺弁財天池,狛江市,,,,,point,0.523,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
21,猪方小川塚古墳,狛江市,,,,,point,1.14,0<PL≤5,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
1,泉龍寺弁財天池,狛江市,,,,,point,0.458,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
21,猪方小川塚古墳,狛江市,,,,,point,1.18,0<PL≤5,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
1,泉龍寺弁財天池,狛江市,,,,,point,4.881,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
15,土屋塚古墳,狛江市,,,,,point,4.955,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
21,猪方小川塚古墳,狛江市,,,,,point,4.924,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
1,泉龍寺弁財天池,狛江市,,,,,point,6.1,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
15,土屋塚古墳,狛江市,,,,,point,6.197,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
21,猪方小川塚古墳,狛江市,,,,,point,6.172,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
1,泉龍寺弁財天池,狛江市,,,,,point,5.439,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
15,土屋塚古墳,狛江市,,,,,point,5.597,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
21,猪方小川塚古墳,狛江市,,,,,point,5.507,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
1,泉龍寺弁財天池,狛江市,,,,,point,5.766,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
