record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
25,旧荻野家住宅,町田市,,,,,building_direct,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
25,旧荻野家住宅,町田市,,,,,building_direct,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
25,旧荻野家住宅,町田市,,,,,building_direct,5.001,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.169,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
25,旧荻野家住宅,町田市,,,,,building_direct,6.035,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,6.218,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.516,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.763,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.827,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,6.123,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.501,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.475,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.62,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.962,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.698,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.834,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
25,旧荻野家住宅,町田市,,,,,building_direct,5.717,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:25,高ヶ坂石器時代遺跡,町田市,,,,,point,5.709,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
