record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
5,seismic,都心南部直下地震,6.143,6強以上,,,13110,目黒区,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,滝泉寺前不動堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
96,seismic,都心南部直下地震,5.948,6弱,,,13110,目黒区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,大円寺石仏群,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
97,seismic,都心南部直下地震,5.705,6弱,,,13110,目黒区,Tokyo Metropolitan,Designated,有形文化財,歴史資料,point,文化4年永代橋崩落横死者供養塔及び石碑,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:15,seismic,都心南部直下地震,6.19,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,円融寺本堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:44,seismic,都心南部直下地震,6.156,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:45,seismic,都心南部直下地震,6.156,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:46,seismic,都心南部直下地震,6.156,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:47,seismic,都心南部直下地震,6.156,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:48,seismic,都心南部直下地震,6.156,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:49,seismic,都心南部直下地震,6.162,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:50,seismic,都心南部直下地震,6.177,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:51,seismic,都心南部直下地震,6.177,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,旧前田家本邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:94,seismic,都心南部直下地震,6.168,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,尊經閣文庫,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:95,seismic,都心南部直下地震,6.168,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,尊經閣文庫,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:96,seismic,都心南部直下地震,6.168,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,尊經閣文庫,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_001:97,seismic,都心南部直下地震,6.175,6強以上,,,13110,目黒区,National,Designated,有形文化財,建造物,building_direct,尊經閣文庫,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:4,seismic,都心南部直下地震,6.082,6強以上,,,13110,目黒区,National,Registered,有形文化財,建造物,building_direct,浅田家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:80,seismic,都心南部直下地震,6.083,6強以上,,,13110,目黒区,National,Registered,有形文化財,建造物,building_direct,海福寺本堂,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:159,seismic,都心南部直下地震,5.99,6弱,,,13110,目黒区,National,Registered,有形文化財,建造物,building_direct,旧砂堀医院,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:161,seismic,都心南部直下地震,6.033,6強以上,,,13110,目黒区,National,Registered,有形文化財,建造物,building_direct,旧園田家住宅スタジオ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:330,seismic,都心南部直下地震,6.047,6強以上,,,13110,目黒区,National,Registered,有形文化財,建造物,building_direct,東京工業大学大岡山西一号館(旧分析化学実験室),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
