record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
official_export_002:369,seismic,都心南部直下地震,5.569,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:370,seismic,都心南部直下地震,5.569,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:369,seismic,都心東部直下地震,5.677,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:370,seismic,都心東部直下地震,5.677,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:369,seismic,都心西部直下地震,5.691,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:370,seismic,都心西部直下地震,5.691,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:369,seismic,多摩東部直下地震,5.9764,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:370,seismic,多摩東部直下地震,5.9764,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:369,seismic,多摩西部直下地震,5.795,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:370,seismic,多摩西部直下地震,5.795,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震
official_export_002:369,seismic,立川断層帯地震,6.4,6強以上,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:370,seismic,立川断層帯地震,6.4,6強以上,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,立川断層帯地震,想定震度｜立川断層帯地震
official_export_002:369,seismic,大正関東地震,5.524,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:370,seismic,大正関東地震,5.524,6弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,大正関東地震,想定震度｜大正関東地震
official_export_002:369,seismic,南海トラフ巨大地震,4.974,5弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:370,seismic,南海トラフ巨大地震,4.974,5弱,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震
official_export_002:369,fire,延焼危険度,3.0,,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅蔵,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:370,fire,延焼危険度,3.0,,,,13202,立川市,National,Registered,有形文化財,建造物,building_direct,中野家住宅主屋,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
