record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
28,seismic,都心南部直下地震,4.856,5弱,,,13227,羽村市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,阿蘇神社本殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
225,seismic,都心南部直下地震,5.097,5強,,,13227,羽村市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,阿蘇神社のシイ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:431,seismic,都心南部直下地震,5.097,5強,,,13227,羽村市,National,Registered,有形文化財,建造物,building_direct,宮川家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:432,seismic,都心南部直下地震,5.097,5強,,,13227,羽村市,National,Registered,有形文化財,建造物,building_direct,宮川家住宅納屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
28,seismic,都心東部直下地震,4.982,5弱,,,13227,羽村市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,阿蘇神社本殿,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
225,seismic,都心東部直下地震,5.248,5強,,,13227,羽村市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,阿蘇神社のシイ,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:431,seismic,都心東部直下地震,5.248,5強,,,13227,羽村市,National,Registered,有形文化財,建造物,building_direct,宮川家住宅主屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:432,seismic,都心東部直下地震,5.248,5強,,,13227,羽村市,National,Registered,有形文化財,建造物,building_direct,宮川家住宅納屋,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
28,seismic,都心西部直下地震,4.909,5弱,,,13227,羽村市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,阿蘇神社本殿,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
225,seismic,都心西部直下地震,5.399,5強,,,13227,羽村市,Tokyo Metropolitan,Designated,記念物,天然記念物,point,阿蘇神社のシイ,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
