record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
123,葛西城跡,葛飾区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
123,葛西城跡,葛飾区,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
182,葛西清重墓,葛飾区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
182,葛西清重墓,葛飾区,,,,,point,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
123,葛西城跡,葛飾区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
123,葛西城跡,葛飾区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
182,葛西清重墓,葛飾区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_depth
182,葛西清重墓,葛飾区,,,,,point,,,high_tide,高潮,high_tide｜高潮,hazard_storm_surge_duration
123,葛西城跡,葛飾区,,,,,point,1.416,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
182,葛西清重墓,葛飾区,,,,,point,5.263,5<PL≤15,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
123,葛西城跡,葛飾区,,,,,point,23.338,PL>15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
182,葛西清重墓,葛飾区,,,,,point,17.518,PL>15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
123,葛西城跡,葛飾区,,,,,point,17.842,PL>15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
182,葛西清重墓,葛飾区,,,,,point,15.433,PL>15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
123,葛西城跡,葛飾区,,,,,point,23.207,PL>15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
182,葛西清重墓,葛飾区,,,,,point,18.108,PL>15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
123,葛西城跡,葛飾区,,,,,point,4.958,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
182,葛西清重墓,葛飾区,,,,,point,5.305,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
123,葛西城跡,葛飾区,,,,,point,5.999,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
182,葛西清重墓,葛飾区,,,,,point,6.175,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
123,葛西城跡,葛飾区,,,,,point,5.397,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
182,葛西清重墓,葛飾区,,,,,point,5.654,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
123,葛西城跡,葛飾区,,,,,point,5.693,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
182,葛西清重墓,葛飾区,,,,,point,5.958,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
123,葛西城跡,葛飾区,,,,,point,4.681,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
182,葛西清重墓,葛飾区,,,,,point,5.091,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
123,葛西城跡,葛飾区,,,,,point,5.979,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
182,葛西清重墓,葛飾区,,,,,point,6.237,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
123,葛西城跡,葛飾区,,,,,point,6.223,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
182,葛西清重墓,葛飾区,,,,,point,6.495,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
123,葛西城跡,葛飾区,,,,,point,6.225,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
182,葛西清重墓,葛飾区,,,,,point,6.376,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
