record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,1.026,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,1.026,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,3.24,0<PL≤5,liquefaction,南海トラフ巨大地震,liquefaction｜南海トラフ巨大地震,hazard_liquefaction_250m_南海トラフ巨大地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,6.508,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,6.508,5<PL≤15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,16.28,PL>15,liquefaction,多摩東部直下地震,liquefaction｜多摩東部直下地震,hazard_liquefaction_250m_多摩東部直下地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,5.471,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,5.471,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,13.2,5<PL≤15,liquefaction,大正関東地震,liquefaction｜大正関東地震,hazard_liquefaction_250m_大正関東地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,0.033,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,0.033,0<PL≤5,liquefaction,立川断層帯地震,liquefaction｜立川断層帯地震,hazard_liquefaction_250m_立川断層帯地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,6.341,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,6.341,5<PL≤15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,16.88,PL>15,liquefaction,都心南部直下地震,liquefaction｜都心南部直下地震,hazard_liquefaction_250m_都心南部直下地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,4.78,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,4.802,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,4.919,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,5.818,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,5.83,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,5.942,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,5.302,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,5.325,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,5.397,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,5.495,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,5.502,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_002:170,旧丹羽家住宅蔵,豊島区,,,,,building_direct,5.605,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
211,鬼子母神大門ケヤキ並木,豊島区,,,,,point,4.74,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
212,雑司が谷鬼子母神のイチョウ,豊島区,,,,,point,4.756,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
