record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
19,seismic,都心南部直下地震,5.707,6弱,,,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,馬場家御師住宅,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
20,seismic,都心南部直下地震,5.868,6弱,,,13205,青梅市,Tokyo Metropolitan,Designated,有形文化財,建造物,building_direct,虎柏神社本殿,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
107,seismic,都心南部直下地震,5.141,5強,,,13205,青梅市,Tokyo Metropolitan,Designated,民俗文化財,有形民俗文化財,point,旧稲葉家住宅,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
129,seismic,都心南部直下地震,5.069,5強,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,天寧寺境域,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
130,seismic,都心南部直下地震,5.004,5強,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,海禅寺境域,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
131,seismic,都心南部直下地震,4.961,5弱,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,安楽寺境域,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
132,seismic,都心南部直下地震,5.613,6弱,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,虎柏神社境域,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
133,seismic,都心南部直下地震,5.322,5強,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,史跡,point,青梅新町の大井戸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
185,seismic,都心南部直下地震,5.056,5強,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,旧跡,point,鈴法寺跡,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
200,seismic,都心南部直下地震,4.789,5弱,,,13205,青梅市,Tokyo Metropolitan,Designated,記念物,名勝,point,奥御岳景園地,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
