record_id,name,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,value,value_class,hazard_type,scenario,hazard_key,layer_name
130,海禅寺境域,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
130,海禅寺境域,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
133,青梅新町の大井戸,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
133,青梅新町の大井戸,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
185,鈴法寺跡,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
185,鈴法寺跡,青梅市,,,,,point,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,4,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_town
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,3,,fire,延焼危険度,fire｜延焼危険度,hazard_fire_spread_mesh250
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,,,landslide,土砂災害警戒区域,landslide｜土砂災害警戒区域,hazard_sediment_warning_a33_polygon
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,,,landslide,砂防指定地,landslide｜砂防指定地,hazard_sabo_designated_a52_polygon
130,海禅寺境域,青梅市,,,,,point,4.929,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
133,青梅新町の大井戸,青梅市,,,,,point,4.782,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
185,鈴法寺跡,青梅市,,,,,point,4.8,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,4.959,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,4.98,,seismic,南海トラフ巨大地震,seismic｜南海トラフ巨大地震,hazard_seismic_50m_南海トラフ巨大地震
130,海禅寺境域,青梅市,,,,,point,5.626,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
133,青梅新町の大井戸,青梅市,,,,,point,5.574,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
185,鈴法寺跡,青梅市,,,,,point,5.618,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.919,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,5.32,,seismic,多摩東部直下地震,seismic｜多摩東部直下地震,hazard_seismic_50m_多摩東部直下地震
130,海禅寺境域,青梅市,,,,,point,5.81,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
133,青梅新町の大井戸,青梅市,,,,,point,5.683,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
185,鈴法寺跡,青梅市,,,,,point,5.683,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.953,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,5.495,,seismic,多摩西部直下地震,seismic｜多摩西部直下地震,hazard_seismic_50m_多摩西部直下地震
130,海禅寺境域,青梅市,,,,,point,5.162,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
133,青梅新町の大井戸,青梅市,,,,,point,5.059,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
185,鈴法寺跡,青梅市,,,,,point,5.096,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.379,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,4.894,,seismic,大正関東地震,seismic｜大正関東地震,hazard_seismic_50m_大正関東地震
130,海禅寺境域,青梅市,,,,,point,5.794,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
133,青梅新町の大井戸,青梅市,,,,,point,5.963,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
185,鈴法寺跡,青梅市,,,,,point,5.962,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,6.202,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,5.34,,seismic,立川断層帯地震,seismic｜立川断層帯地震,hazard_seismic_50m_立川断層帯地震
130,海禅寺境域,青梅市,,,,,point,5.16,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
133,青梅新町の大井戸,青梅市,,,,,point,5.029,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
185,鈴法寺跡,青梅市,,,,,point,5.056,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.413,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,4.806,,seismic,都心南部直下地震,seismic｜都心南部直下地震,hazard_seismic_50m_都心南部直下地震
130,海禅寺境域,青梅市,,,,,point,5.205,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
133,青梅新町の大井戸,青梅市,,,,,point,5.04,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
185,鈴法寺跡,青梅市,,,,,point,5.06,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.445,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,4.895,,seismic,都心東部直下地震,seismic｜都心東部直下地震,hazard_seismic_50m_都心東部直下地震
130,海禅寺境域,青梅市,,,,,point,5.264,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
133,青梅新町の大井戸,青梅市,,,,,point,5.21,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
185,鈴法寺跡,青梅市,,,,,point,5.233,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_002:323,津雲家住宅門,青梅市,,,,,building_direct,5.506,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
official_export_003:63,御岳の神代ケヤキ,青梅市,,,,,point,4.924,,seismic,都心西部直下地震,seismic｜都心西部直下地震,hazard_seismic_50m_都心西部直下地震
