river,municipality_code,municipality_name,0–0.5 m,0.5–3 m,3–5 m,5 m以上,Total
多摩川,13101,あきる野市,0,0,0,0,0
多摩川,13101,中央区,0,0,0,0,0
多摩川,13101,千代田区,0,0,0,0,0
多摩川,13101,台東区,0,0,0,0,0
多摩川,13101,国立市,0,0,0,0,0
多摩川,13101,墨田区,0,0,0,0,0
多摩川,13101,大田区,0,0,0,0,0
多摩川,13101,府中市,0,0,0,0,0
多摩川,13101,日野市,0,0,0,0,0
多摩川,13101,昭島市,0,0,0,0,0
多摩川,13101,板橋区,0,0,0,0,0
多摩川,13101,江戸川区,0,0,0,0,0
多摩川,13101,江東区,0,0,0,0,0
多摩川,13101,港区,0,0,0,0,0
多摩川,13101,狛江市,0,0,0,0,0
多摩川,13101,目黒区,0,0,0,0,0
多摩川,13101,福生市,0,0,0,0,0
多摩川,13101,荒川区,0,0,0,0,0
多摩川,13101,葛飾区,0,0,0,0,0
多摩川,13101,調布市,0,0,0,0,0
多摩川,13101,足立区,0,0,0,0,0
多摩川,13101,青梅市,0,0,0,0,0
多摩川,13102,あきる野市,0,0,0,0,0
多摩川,13102,中央区,0,0,0,0,0
多摩川,13102,千代田区,0,0,0,0,0
多摩川,13102,台東区,0,0,0,0,0
多摩川,13102,国立市,0,0,0,0,0
多摩川,13102,墨田区,0,0,0,0,0
多摩川,13102,大田区,0,0,0,0,0
多摩川,13102,府中市,0,0,0,0,0
多摩川,13102,日野市,0,0,0,0,0
多摩川,13102,昭島市,0,0,0,0,0
多摩川,13102,板橋区,0,0,0,0,0
多摩川,13102,江戸川区,0,0,0,0,0
多摩川,13102,江東区,0,0,0,0,0
多摩川,13102,港区,0,0,0,0,0
多摩川,13102,狛江市,0,0,0,0,0
多摩川,13102,目黒区,0,0,0,0,0
多摩川,13102,福生市,0,0,0,0,0
多摩川,13102,荒川区,0,0,0,0,0
多摩川,13102,葛飾区,0,0,0,0,0
多摩川,13102,調布市,0,0,0,0,0
多摩川,13102,足立区,0,0,0,0,0
多摩川,13102,青梅市,0,0,0,0,0
多摩川,13103,あきる野市,0,0,0,0,0
多摩川,13103,中央区,0,0,0,0,0
多摩川,13103,千代田区,0,0,0,0,0
多摩川,13103,台東区,0,0,0,0,0
多摩川,13103,国立市,0,0,0,0,0
多摩川,13103,墨田区,0,0,0,0,0
多摩川,13103,大田区,0,0,0,0,0
多摩川,13103,府中市,0,0,0,0,0
多摩川,13103,日野市,0,0,0,0,0
多摩川,13103,昭島市,0,0,0,0,0
多摩川,13103,板橋区,0,0,0,0,0
多摩川,13103,江戸川区,0,0,0,0,0
多摩川,13103,江東区,0,0,0,0,0
多摩川,13103,港区,0,0,0,0,0
多摩川,13103,狛江市,0,0,0,0,0
多摩川,13103,目黒区,0,0,0,0,0
多摩川,13103,福生市,0,0,0,0,0
多摩川,13103,荒川区,0,0,0,0,0
多摩川,13103,葛飾区,0,0,0,0,0
多摩川,13103,調布市,0,0,0,0,0
多摩川,13103,足立区,0,0,0,0,0
多摩川,13103,青梅市,0,0,0,0,0
多摩川,13106,あきる野市,0,0,0,0,0
多摩川,13106,中央区,0,0,0,0,0
多摩川,13106,千代田区,0,0,0,0,0
多摩川,13106,台東区,0,0,0,0,0
多摩川,13106,国立市,0,0,0,0,0
多摩川,13106,墨田区,0,0,0,0,0
多摩川,13106,大田区,0,0,0,0,0
多摩川,13106,府中市,0,0,0,0,0
多摩川,13106,日野市,0,0,0,0,0
多摩川,13106,昭島市,0,0,0,0,0
多摩川,13106,板橋区,0,0,0,0,0
多摩川,13106,江戸川区,0,0,0,0,0
多摩川,13106,江東区,0,0,0,0,0
多摩川,13106,港区,0,0,0,0,0
多摩川,13106,狛江市,0,0,0,0,0
多摩川,13106,目黒区,0,0,0,0,0
多摩川,13106,福生市,0,0,0,0,0
多摩川,13106,荒川区,0,0,0,0,0
多摩川,13106,葛飾区,0,0,0,0,0
多摩川,13106,調布市,0,0,0,0,0
多摩川,13106,足立区,0,0,0,0,0
多摩川,13106,青梅市,0,0,0,0,0
多摩川,13107,あきる野市,0,0,0,0,0
多摩川,13107,中央区,0,0,0,0,0
多摩川,13107,千代田区,0,0,0,0,0
多摩川,13107,台東区,0,0,0,0,0
多摩川,13107,国立市,0,0,0,0,0
多摩川,13107,墨田区,0,0,0,0,0
多摩川,13107,大田区,0,0,0,0,0
多摩川,13107,府中市,0,0,0,0,0
多摩川,13107,日野市,0,0,0,0,0
多摩川,13107,昭島市,0,0,0,0,0
多摩川,13107,板橋区,0,0,0,0,0
多摩川,13107,江戸川区,0,0,0,0,0
多摩川,13107,江東区,0,0,0,0,0
多摩川,13107,港区,0,0,0,0,0
多摩川,13107,狛江市,0,0,0,0,0
多摩川,13107,目黒区,0,0,0,0,0
多摩川,13107,福生市,0,0,0,0,0
多摩川,13107,荒川区,0,0,0,0,0
多摩川,13107,葛飾区,0,0,0,0,0
多摩川,13107,調布市,0,0,0,0,0
多摩川,13107,足立区,0,0,0,0,0
多摩川,13107,青梅市,0,0,0,0,0
多摩川,13108,あきる野市,0,0,0,0,0
多摩川,13108,中央区,0,0,0,0,0
多摩川,13108,千代田区,0,0,0,0,0
多摩川,13108,台東区,0,0,0,0,0
多摩川,13108,国立市,0,0,0,0,0
多摩川,13108,墨田区,0,0,0,0,0
多摩川,13108,大田区,0,0,0,0,0
多摩川,13108,府中市,0,0,0,0,0
多摩川,13108,日野市,0,0,0,0,0
多摩川,13108,昭島市,0,0,0,0,0
多摩川,13108,板橋区,0,0,0,0,0
多摩川,13108,江戸川区,0,0,0,0,0
多摩川,13108,江東区,0,0,0,0,0
多摩川,13108,港区,0,0,0,0,0
多摩川,13108,狛江市,0,0,0,0,0
多摩川,13108,目黒区,0,0,0,0,0
多摩川,13108,福生市,0,0,0,0,0
多摩川,13108,荒川区,0,0,0,0,0
多摩川,13108,葛飾区,0,0,0,0,0
多摩川,13108,調布市,0,0,0,0,0
多摩川,13108,足立区,0,0,0,0,0
多摩川,13108,青梅市,0,0,0,0,0
多摩川,13110,あきる野市,0,0,0,0,0
多摩川,13110,中央区,0,0,0,0,0
多摩川,13110,千代田区,0,0,0,0,0
多摩川,13110,台東区,0,0,0,0,0
多摩川,13110,国立市,0,0,0,0,0
多摩川,13110,墨田区,0,0,0,0,0
多摩川,13110,大田区,0,0,0,0,0
多摩川,13110,府中市,0,0,0,0,0
多摩川,13110,日野市,0,0,0,0,0
多摩川,13110,昭島市,0,0,0,0,0
多摩川,13110,板橋区,0,0,0,0,0
多摩川,13110,江戸川区,0,0,0,0,0
多摩川,13110,江東区,0,0,0,0,0
多摩川,13110,港区,0,0,0,0,0
多摩川,13110,狛江市,0,0,0,0,0
多摩川,13110,目黒区,0,1,0,0,1
多摩川,13110,福生市,0,0,0,0,0
多摩川,13110,荒川区,0,0,0,0,0
多摩川,13110,葛飾区,0,0,0,0,0
多摩川,13110,調布市,0,0,0,0,0
多摩川,13110,足立区,0,0,0,0,0
多摩川,13110,青梅市,0,0,0,0,0
多摩川,13111,あきる野市,0,0,0,0,0
多摩川,13111,中央区,0,0,0,0,0
多摩川,13111,千代田区,0,0,0,0,0
多摩川,13111,台東区,0,0,0,0,0
多摩川,13111,国立市,0,0,0,0,0
多摩川,13111,墨田区,0,0,0,0,0
多摩川,13111,大田区,1,1,0,0,2
多摩川,13111,府中市,0,0,0,0,0
多摩川,13111,日野市,0,0,0,0,0
多摩川,13111,昭島市,0,0,0,0,0
多摩川,13111,板橋区,0,0,0,0,0
多摩川,13111,江戸川区,0,0,0,0,0
多摩川,13111,江東区,0,0,0,0,0
多摩川,13111,港区,0,0,0,0,0
多摩川,13111,狛江市,0,0,0,0,0
多摩川,13111,目黒区,0,0,0,0,0
多摩川,13111,福生市,0,0,0,0,0
多摩川,13111,荒川区,0,0,0,0,0
多摩川,13111,葛飾区,0,0,0,0,0
多摩川,13111,調布市,0,0,0,0,0
多摩川,13111,足立区,0,0,0,0,0
多摩川,13111,青梅市,0,0,0,0,0
多摩川,13118,あきる野市,0,0,0,0,0
多摩川,13118,中央区,0,0,0,0,0
多摩川,13118,千代田区,0,0,0,0,0
多摩川,13118,台東区,0,0,0,0,0
多摩川,13118,国立市,0,0,0,0,0
多摩川,13118,墨田区,0,0,0,0,0
多摩川,13118,大田区,0,0,0,0,0
多摩川,13118,府中市,0,0,0,0,0
多摩川,13118,日野市,0,0,0,0,0
多摩川,13118,昭島市,0,0,0,0,0
多摩川,13118,板橋区,0,0,0,0,0
多摩川,13118,江戸川区,0,0,0,0,0
多摩川,13118,江東区,0,0,0,0,0
多摩川,13118,港区,0,0,0,0,0
多摩川,13118,狛江市,0,0,0,0,0
多摩川,13118,目黒区,0,0,0,0,0
多摩川,13118,福生市,0,0,0,0,0
多摩川,13118,荒川区,0,0,0,0,0
多摩川,13118,葛飾区,0,0,0,0,0
多摩川,13118,調布市,0,0,0,0,0
多摩川,13118,足立区,0,0,0,0,0
多摩川,13118,青梅市,0,0,0,0,0
多摩川,13119,あきる野市,0,0,0,0,0
多摩川,13119,中央区,0,0,0,0,0
多摩川,13119,千代田区,0,0,0,0,0
多摩川,13119,台東区,0,0,0,0,0
多摩川,13119,国立市,0,0,0,0,0
多摩川,13119,墨田区,0,0,0,0,0
多摩川,13119,大田区,0,0,0,0,0
多摩川,13119,府中市,0,0,0,0,0
多摩川,13119,日野市,0,0,0,0,0
多摩川,13119,昭島市,0,0,0,0,0
多摩川,13119,板橋区,0,0,0,0,0
多摩川,13119,江戸川区,0,0,0,0,0
多摩川,13119,江東区,0,0,0,0,0
多摩川,13119,港区,0,0,0,0,0
多摩川,13119,狛江市,0,0,0,0,0
多摩川,13119,目黒区,0,0,0,0,0
多摩川,13119,福生市,0,0,0,0,0
多摩川,13119,荒川区,0,0,0,0,0
多摩川,13119,葛飾区,0,0,0,0,0
多摩川,13119,調布市,0,0,0,0,0
多摩川,13119,足立区,0,0,0,0,0
多摩川,13119,青梅市,0,0,0,0,0
多摩川,13121,あきる野市,0,0,0,0,0
多摩川,13121,中央区,0,0,0,0,0
多摩川,13121,千代田区,0,0,0,0,0
多摩川,13121,台東区,0,0,0,0,0
多摩川,13121,国立市,0,0,0,0,0
多摩川,13121,墨田区,0,0,0,0,0
多摩川,13121,大田区,0,0,0,0,0
多摩川,13121,府中市,0,0,0,0,0
多摩川,13121,日野市,0,0,0,0,0
多摩川,13121,昭島市,0,0,0,0,0
多摩川,13121,板橋区,0,0,0,0,0
多摩川,13121,江戸川区,0,0,0,0,0
多摩川,13121,江東区,0,0,0,0,0
多摩川,13121,港区,0,0,0,0,0
多摩川,13121,狛江市,0,0,0,0,0
多摩川,13121,目黒区,0,0,0,0,0
多摩川,13121,福生市,0,0,0,0,0
多摩川,13121,荒川区,0,0,0,0,0
多摩川,13121,葛飾区,0,0,0,0,0
多摩川,13121,調布市,0,0,0,0,0
多摩川,13121,足立区,0,0,0,0,0
多摩川,13121,青梅市,0,0,0,0,0
多摩川,13122,あきる野市,0,0,0,0,0
多摩川,13122,中央区,0,0,0,0,0
多摩川,13122,千代田区,0,0,0,0,0
多摩川,13122,台東区,0,0,0,0,0
多摩川,13122,国立市,0,0,0,0,0
多摩川,13122,墨田区,0,0,0,0,0
多摩川,13122,大田区,0,0,0,0,0
多摩川,13122,府中市,0,0,0,0,0
多摩川,13122,日野市,0,0,0,0,0
多摩川,13122,昭島市,0,0,0,0,0
多摩川,13122,板橋区,0,0,0,0,0
多摩川,13122,江戸川区,0,0,0,0,0
多摩川,13122,江東区,0,0,0,0,0
多摩川,13122,港区,0,0,0,0,0
多摩川,13122,狛江市,0,0,0,0,0
多摩川,13122,目黒区,0,0,0,0,0
多摩川,13122,福生市,0,0,0,0,0
多摩川,13122,荒川区,0,0,0,0,0
多摩川,13122,葛飾区,0,0,0,0,0
多摩川,13122,調布市,0,0,0,0,0
多摩川,13122,足立区,0,0,0,0,0
多摩川,13122,青梅市,0,0,0,0,0
多摩川,13123,あきる野市,0,0,0,0,0
多摩川,13123,中央区,0,0,0,0,0
多摩川,13123,千代田区,0,0,0,0,0
多摩川,13123,台東区,0,0,0,0,0
多摩川,13123,国立市,0,0,0,0,0
多摩川,13123,墨田区,0,0,0,0,0
多摩川,13123,大田区,0,0,0,0,0
多摩川,13123,府中市,0,0,0,0,0
多摩川,13123,日野市,0,0,0,0,0
多摩川,13123,昭島市,0,0,0,0,0
多摩川,13123,板橋区,0,0,0,0,0
多摩川,13123,江戸川区,0,0,0,0,0
多摩川,13123,江東区,0,0,0,0,0
多摩川,13123,港区,0,0,0,0,0
多摩川,13123,狛江市,0,0,0,0,0
多摩川,13123,目黒区,0,0,0,0,0
多摩川,13123,福生市,0,0,0,0,0
多摩川,13123,荒川区,0,0,0,0,0
多摩川,13123,葛飾区,0,0,0,0,0
多摩川,13123,調布市,0,0,0,0,0
多摩川,13123,足立区,0,0,0,0,0
多摩川,13123,青梅市,0,0,0,0,0
多摩川,13205,あきる野市,0,0,0,0,0
多摩川,13205,中央区,0,0,0,0,0
多摩川,13205,千代田区,0,0,0,0,0
多摩川,13205,台東区,0,0,0,0,0
多摩川,13205,国立市,0,0,0,0,0
多摩川,13205,墨田区,0,0,0,0,0
多摩川,13205,大田区,0,0,0,0,0
多摩川,13205,府中市,0,0,0,0,0
多摩川,13205,日野市,0,0,0,0,0
多摩川,13205,昭島市,0,0,0,0,0
多摩川,13205,板橋区,0,0,0,0,0
多摩川,13205,江戸川区,0,0,0,0,0
多摩川,13205,江東区,0,0,0,0,0
多摩川,13205,港区,0,0,0,0,0
多摩川,13205,狛江市,0,0,0,0,0
多摩川,13205,目黒区,0,0,0,0,0
多摩川,13205,福生市,0,0,0,0,0
多摩川,13205,荒川区,0,0,0,0,0
多摩川,13205,葛飾区,0,0,0,0,0
多摩川,13205,調布市,0,0,0,0,0
多摩川,13205,足立区,0,0,0,0,0
多摩川,13205,青梅市,0,1,1,0,2
多摩川,13206,あきる野市,0,0,0,0,0
多摩川,13206,中央区,0,0,0,0,0
多摩川,13206,千代田区,0,0,0,0,0
多摩川,13206,台東区,0,0,0,0,0
多摩川,13206,国立市,0,0,0,0,0
多摩川,13206,墨田区,0,0,0,0,0
多摩川,13206,大田区,0,0,0,0,0
多摩川,13206,府中市,0,1,1,0,2
多摩川,13206,日野市,0,0,0,0,0
多摩川,13206,昭島市,0,0,0,0,0
多摩川,13206,板橋区,0,0,0,0,0
多摩川,13206,江戸川区,0,0,0,0,0
多摩川,13206,江東区,0,0,0,0,0
多摩川,13206,港区,0,0,0,0,0
多摩川,13206,狛江市,0,0,0,0,0
多摩川,13206,目黒区,0,0,0,0,0
多摩川,13206,福生市,0,0,0,0,0
多摩川,13206,荒川区,0,0,0,0,0
多摩川,13206,葛飾区,0,0,0,0,0
多摩川,13206,調布市,0,0,0,0,0
多摩川,13206,足立区,0,0,0,0,0
多摩川,13206,青梅市,0,0,0,0,0
多摩川,13207,あきる野市,0,0,0,0,0
多摩川,13207,中央区,0,0,0,0,0
多摩川,13207,千代田区,0,0,0,0,0
多摩川,13207,台東区,0,0,0,0,0
多摩川,13207,国立市,0,0,0,0,0
多摩川,13207,墨田区,0,0,0,0,0
多摩川,13207,大田区,0,0,0,0,0
多摩川,13207,府中市,0,0,0,0,0
