municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
あきる野市,0,0,1,0,0,66,67
三宅村,0,0,0,0,0,2,2
三鷹市,0,0,0,0,0,26,26
世田谷区,0,0,0,0,0,41,41
中央区,0,5,2,0,0,17,24
中野区,0,0,0,0,0,17,17
八丈町,0,0,0,0,0,1,1
八王子市,0,0,0,0,0,10,10
利島村,0,0,0,0,0,1,1
千代田区,0,4,2,0,0,38,44
台東区,0,10,21,0,0,108,139
品川区,0,1,0,0,0,13,14
国分寺市,0,0,0,0,0,45,45
国立市,0,0,0,0,0,83,83
墨田区,0,1,66,35,3,10,115
多摩市,0,0,0,0,0,8,8
大島町,0,0,0,0,0,7,7
大田区,0,1,1,0,0,36,38
小平市,0,0,0,0,0,20,20
小金井市,0,0,0,0,0,4,4
府中市,0,0,0,0,0,9,9
文京区,0,1,0,0,0,91,92
新宿区,0,5,2,0,0,249,256
新島村,0,0,0,0,0,6,6
日の出町,0,0,0,0,0,1,1
日野市,0,0,0,0,0,7,7
昭島市,0,0,0,0,0,4,4
杉並区,0,0,0,0,0,29,29
東久留米市,0,0,0,0,0,11,11
東大和市,0,0,0,0,0,5,5
東村山市,0,0,0,0,0,46,46
板橋区,0,0,1,0,0,2,3
檜原村,0,0,0,0,0,6,6
武蔵村山市,0,0,0,0,0,1,1
武蔵野市,0,0,0,0,0,4,4
江戸川区,0,0,3,0,0,239,242
江東区,0,0,9,1,1,0,11
清瀬市,0,0,0,0,0,2,2
渋谷区,0,0,0,0,0,31,31
港区,0,4,3,1,0,44,52
狛江市,0,0,0,0,0,1,1
町田市,0,0,0,0,0,5,5
目黒区,0,0,0,0,0,33,33
福生市,0,0,0,0,0,15,15
稲城市,0,0,0,0,0,1,1
立川市,0,0,0,0,0,2,2
練馬区,0,0,0,0,0,2,2
羽村市,0,0,0,0,0,4,4
荒川区,0,1,0,0,0,1,2
葛飾区,0,0,2,3,0,3,8
西東京市,0,0,0,0,0,10,10
調布市,0,0,0,0,0,70,70
豊島区,0,0,0,0,0,152,152
足立区,0,0,0,0,0,1,1
青梅市,0,0,0,0,0,38,38
