record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,scenario,risk_value,risk_type,risk_type_ja,risk_class,hazard_source,risk_basis
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,南海トラフ巨大地震,0.2072,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,多摩東部直下地震,2.6936,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,大正関東地震,2.1292,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,都心南部直下地震,3.6392,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,南海トラフ巨大地震,0.322,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,多摩東部直下地震,6.5392,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,大正関東地震,5.846,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,都心南部直下地震,7.9636,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,南海トラフ巨大地震,0.628,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,多摩東部直下地震,5.954,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,大正関東地震,4.992,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,都心南部直下地震,5.996,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,南海トラフ巨大地震,0.628,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,多摩東部直下地震,5.954,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,大正関東地震,4.992,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,都心南部直下地震,5.996,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,南海トラフ巨大地震,0.178421053,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,多摩東部直下地震,6.724210526,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,大正関東地震,5.804210526,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,都心南部直下地震,7.801578947,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,南海トラフ巨大地震,0.2372,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,多摩東部直下地震,11.18,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,大正関東地震,9.9564,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,都心南部直下地震,13.154,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,南海トラフ巨大地震,0.245,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,多摩東部直下地震,5.06,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,大正関東地震,4.18,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,都心南部直下地震,5.06,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,南海トラフ巨大地震,0.672,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,多摩東部直下地震,3.5876,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,大正関東地震,3.274,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,都心南部直下地震,4.1524,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,南海トラフ巨大地震,0.178421053,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,多摩東部直下地震,6.724210526,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,大正関東地震,5.804210526,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,都心南部直下地震,7.801578947,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,南海トラフ巨大地震,0.245,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,多摩東部直下地震,5.06,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,大正関東地震,4.18,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,都心南部直下地震,5.06,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,南海トラフ巨大地震,0.49,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,多摩東部直下地震,5.695,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_多摩東部直下地震,liquefaction mesh polygon intersection
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,大正関東地震,4.835,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_大正関東地震,liquefaction mesh polygon intersection
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,都心南部直下地震,5.845,liquefaction,液状化,5<PL≤15,hazard_liquefaction_250m_都心南部直下地震,liquefaction mesh polygon intersection
official_export_002:100,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂,南海トラフ巨大地震,1.21,liquefaction,液状化,0<PL≤5,hazard_liquefaction_250m_南海トラフ巨大地震,liquefaction mesh polygon intersection
