municipality_code,municipality_name,その他,保存技術,区指定文化財,史跡,名勝,国宝,天然記念物,工芸技術,市郷土資料,建造物,技芸,文化的景観,旧跡,有形民俗文化財,有形民俗文化財(民俗),有形民俗文化財(金石文等),未細分,歴史資料,民俗テーマ(生活技術),無形民俗文化財,無形民俗文化財(民俗芸能),無形民俗文化財(風俗慣習),Total
13101,千代田区,0,0,0,0,0,0,4,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,44
13101,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13102,中央区,0,0,2,7,0,0,1,0,0,23,0,0,0,20,0,0,35,1,0,1,0,0,90
13102,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13103,港区,0,0,0,0,0,0,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,52
13103,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13104,新宿区,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,232,0,0,0,0,0,256
13104,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13105,文京区,0,0,0,1,1,0,8,0,0,80,0,0,2,0,0,0,0,0,0,0,0,0,92
13105,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13106,台東区,0,0,0,15,0,0,8,0,0,84,0,0,14,17,0,0,0,1,0,0,0,0,139
13106,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13107,墨田区,0,0,0,5,2,0,2,0,0,18,0,0,4,34,0,0,0,48,0,0,1,1,115
13107,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13108,江東区,0,0,0,256,2,0,1,0,0,131,0,0,0,0,0,0,0,0,2,0,5,2,399
13108,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13109,品川区,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14
13109,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110,目黒区,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,33
13110,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13111,大田区,0,0,0,3,0,0,1,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,38
13111,青ケ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112,世田谷区,0,0,0,4,1,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,41
