municipality_code,municipality_name,record_count
13101,千代田区,44
13102,中央区,90
13103,港区,52
13104,新宿区,256
13105,文京区,92
13106,台東区,139
13107,墨田区,115
13108,江東区,399
13109,品川区,14
13110,目黒区,33
13111,大田区,38
13112,世田谷区,41
13113,渋谷区,31
13114,中野区,22
13115,杉並区,103
13116,豊島区,159
13118,荒川区,2
13119,板橋区,3
13120,練馬区,2
13121,足立区,1
13122,葛飾区,218
13123,江戸川区,242
13201,八王子市,15
13202,立川市,2
13203,武蔵野市,4
13204,三鷹市,26
13205,青梅市,41
13206,府中市,9
13207,昭島市,4
13208,調布市,70
13209,町田市,5
13210,小金井市,42
13211,小平市,20
13212,日野市,7
13213,東村山市,46
13214,国分寺市,45
13215,国立市,83
13218,福生市,15
13219,狛江市,16
13220,東大和市,30
13221,清瀬市,2
13222,東久留米市,96
13223,武蔵村山市,1
13224,多摩市,8
13225,稲城市,1
13227,羽村市,4
13228,あきる野市,133
13229,西東京市,10
13305,日の出町,1
13307,檜原村,6
13361,大島町,7
13362,利島村,4
13363,新島村,6
13381,三宅村,2
13401,八丈町,8
13402,青ケ島村,1
