record_id,risk_type,risk_type_ja,depth_m,hazard_source,scenario,risk_class,risk_basis
official_export_002:162,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:162,landslide,土砂災害警戒区域,,急傾斜地の崩落,,土砂災害警戒区域（指定済）,PLATEAU building risk
131156000000.0,river_flooding,洪水浸水想定区域,0.01,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
132000000000.0,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:459,river_flooding,洪水浸水想定区域,0.013,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:455,river_flooding,洪水浸水想定区域,0.36,古川水系渋谷川・古川・目黒川水系目黒川・呑川水系呑川・立会川水系立会川・内川水系内川,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:455,river_flooding,洪水浸水想定区域,0.358,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:455,river_flooding,洪水浸水想定区域,0.34,多摩川水系多摩川・浅川・大栗川,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:455,high_tide,高潮浸水想定,0.93,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
official_export_002:44,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:110,river_flooding,洪水浸水想定区域,0.06,野川・仙川・入間川・谷沢川・丸子川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
1.32209E+11,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:355,river_flooding,洪水浸水想定区域,0.003,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
43,river_flooding,洪水浸水想定区域,0.058,浅川圏域・大栗川・三沢川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
