record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
154,fire,延焼危険度,3.0,,,,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:103,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:11,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:114,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:115,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:116,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:117,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:118,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:12,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:13,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:130,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:14,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:192,fire,延焼危険度,2.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:34,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:35,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:63,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_001:80,fire,延焼危険度,1.0,,,,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,水準原点,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:100,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:116,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社神饌所,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:117,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社西門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:118,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社拝殿,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:119,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社東門,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:120,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社幣殿,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:121,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社宝庫,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:122,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社本殿,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:123,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社瑞垣,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:153,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧九段会館,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
official_export_002:181,fire,延焼危険度,2.0,,,,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,旧文部省庁舎,延焼危険度,延焼危険度,延焼危険度｜延焼危険度
