municipality_name,fire,high_tide,landslide,river_flooding,seismic,tsunami,Total
あきる野市,57,1,22,43,64,0,187
三宅村,0,0,2,0,2,0,4
三鷹市,26,0,0,26,26,0,78
世田谷区,41,0,1,41,41,0,124
中央区,24,7,0,19,24,1,75
中野区,17,0,0,17,17,0,51
八丈町,0,0,0,0,1,0,1
八王子市,10,0,2,10,10,0,32
利島村,0,0,0,0,1,0,1
千代田区,44,6,2,44,44,1,141
台東区,133,31,0,133,133,0,430
品川区,14,1,1,14,14,0,44
国分寺市,45,0,0,40,45,0,130
国立市,72,0,2,10,72,0,156
墨田区,107,105,0,107,107,0,426
多摩市,8,0,6,8,8,0,30
大島町,0,0,1,0,7,0,8
大田区,38,2,0,38,38,0,116
小平市,1,0,0,1,1,0,3
小金井市,4,0,0,4,4,0,12
府中市,9,0,1,3,9,0,22
文京区,92,1,2,92,92,0,279
新宿区,254,7,3,254,254,0,772
新島村,0,0,4,0,6,4,14
日の出町,1,0,1,1,1,0,4
日野市,7,0,1,6,7,0,21
昭島市,4,0,0,2,4,0,10
杉並区,29,0,0,29,29,0,87
東久留米市,11,0,0,10,11,0,32
東大和市,5,0,1,5,5,0,16
東村山市,43,0,0,43,43,0,129
板橋区,3,1,0,3,3,0,10
檜原村,6,0,6,6,6,0,24
武蔵村山市,1,0,0,1,1,0,3
武蔵野市,4,0,0,4,4,0,12
江戸川区,3,3,0,3,3,0,12
江東区,11,11,0,11,11,1,45
清瀬市,2,0,0,2,2,0,6
渋谷区,31,0,0,31,31,0,93
港区,52,8,4,52,52,1,169
狛江市,1,0,0,1,1,0,3
町田市,5,0,0,1,5,0,11
目黒区,33,0,1,33,33,0,100
福生市,15,0,0,7,15,0,37
稲城市,1,0,0,1,1,0,3
立川市,2,0,0,0,2,0,4
練馬区,2,0,0,2,2,0,6
羽村市,4,0,2,3,4,0,13
荒川区,2,1,0,2,2,0,7
葛飾区,6,5,0,6,6,0,23
西東京市,10,0,0,10,10,0,30
調布市,69,0,2,52,69,0,192
豊島区,30,0,1,29,30,0,90
足立区,1,0,0,1,1,0,3
青梅市,38,0,14,28,38,0,118
