municipality_name,0,0–0.5 m,0.5–3 m,3–5 m,5 m以上,No data,Total
あきる野市,3,34,5,0,1,24,67
三宅村,0,0,0,0,0,2,2
三鷹市,20,4,2,0,0,0,26
世田谷区,14,27,0,0,0,0,41
中央区,5,12,2,0,0,5,24
中野区,7,10,0,0,0,0,17
八丈町,0,0,0,0,0,1,1
八王子市,2,8,0,0,0,0,10
利島村,0,0,0,0,0,1,1
千代田区,31,11,2,0,0,0,44
台東区,63,58,12,0,0,6,139
品川区,6,8,0,0,0,0,14
国分寺市,31,5,4,0,0,5,45
国立市,0,7,2,0,1,73,83
墨田区,34,62,11,0,0,8,115
多摩市,2,6,0,0,0,0,8
大島町,0,0,0,0,0,7,7
大田区,7,28,3,0,0,0,38
小平市,1,0,0,0,0,19,20
小金井市,1,0,1,2,0,0,4
府中市,2,1,0,0,0,6,9
文京区,54,34,4,0,0,0,92
新宿区,179,63,12,0,0,2,256
新島村,0,0,0,0,0,6,6
日の出町,0,1,0,0,0,0,1
日野市,1,4,1,0,0,1,7
昭島市,0,1,1,0,0,2,4
杉並区,17,11,1,0,0,0,29
東久留米市,0,2,1,0,0,8,11
東大和市,0,3,2,0,0,0,5
東村山市,0,29,5,0,0,12,46
板橋区,2,0,1,0,0,0,3
檜原村,0,5,1,0,0,0,6
武蔵村山市,0,0,0,0,0,1,1
武蔵野市,4,0,0,0,0,0,4
江戸川区,0,1,0,2,0,239,242
江東区,5,4,2,0,0,0,11
清瀬市,0,1,1,0,0,0,2
渋谷区,22,8,1,0,0,0,31
港区,23,23,6,0,0,0,52
狛江市,0,0,1,0,0,0,1
町田市,0,1,0,0,0,4,5
目黒区,23,9,1,0,0,0,33
福生市,0,1,6,0,0,8,15
稲城市,0,1,0,0,0,0,1
立川市,0,0,0,0,0,2,2
練馬区,2,0,0,0,0,0,2
羽村市,0,3,0,0,0,1,4
荒川区,1,1,0,0,0,0,2
葛飾区,1,1,0,4,0,2,8
西東京市,9,1,0,0,0,0,10
調布市,20,25,6,1,0,18,70
豊島区,17,12,0,0,0,123,152
足立区,0,1,0,0,0,0,1
青梅市,1,19,2,1,5,10,38
