municipality_name,5弱未満,5弱,5強,6弱,6強以上,No data,Total
あきる野市,6,51,7,0,0,3,67
三宅村,0,2,0,0,0,0,2
三鷹市,0,18,8,0,0,0,26
世田谷区,0,20,21,0,0,0,41
中央区,0,17,7,0,0,0,24
中野区,0,15,2,0,0,0,17
八丈町,1,0,0,0,0,0,1
八王子市,0,3,7,0,0,0,10
利島村,0,0,1,0,0,0,1
千代田区,0,32,12,0,0,0,44
台東区,0,76,57,0,0,6,139
品川区,0,14,0,0,0,0,14
国分寺市,0,30,15,0,0,0,45
国立市,0,53,19,0,0,11,83
墨田区,0,4,100,3,0,8,115
多摩市,0,4,4,0,0,0,8
大島町,0,0,7,0,0,0,7
大田区,0,25,13,0,0,0,38
小平市,0,1,0,0,0,19,20
小金井市,0,4,0,0,0,0,4
府中市,0,7,2,0,0,0,9
文京区,0,86,6,0,0,0,92
新宿区,0,249,5,0,0,2,256
新島村,0,0,6,0,0,0,6
日の出町,0,1,0,0,0,0,1
日野市,0,4,3,0,0,0,7
昭島市,0,4,0,0,0,0,4
杉並区,0,17,12,0,0,0,29
東久留米市,0,11,0,0,0,0,11
東大和市,0,2,3,0,0,0,5
東村山市,0,29,14,0,0,3,46
板橋区,0,2,1,0,0,0,3
檜原村,0,0,6,0,0,0,6
武蔵村山市,0,0,1,0,0,0,1
武蔵野市,0,4,0,0,0,0,4
江戸川区,0,2,1,0,0,239,242
江東区,0,0,11,0,0,0,11
清瀬市,0,2,0,0,0,0,2
渋谷区,0,30,1,0,0,0,31
港区,0,50,2,0,0,0,52
狛江市,0,1,0,0,0,0,1
町田市,0,1,4,0,0,0,5
目黒区,0,32,1,0,0,0,33
福生市,0,15,0,0,0,0,15
稲城市,0,1,0,0,0,0,1
立川市,0,2,0,0,0,0,2
練馬区,0,2,0,0,0,0,2
羽村市,0,4,0,0,0,0,4
荒川区,0,1,1,0,0,0,2
葛飾区,0,3,3,0,0,2,8
西東京市,0,8,2,0,0,0,10
調布市,0,58,11,0,0,1,70
豊島区,0,30,0,0,0,122,152
足立区,0,0,1,0,0,0,1
青梅市,0,36,2,0,0,0,38
