record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
154,13101,千代田区,Tokyo Metropolitan,Designated,記念物,旧跡,point,将門塚,6.004,都心西部直下地震,6強以上
official_export_001:11,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,5.722,都心西部直下地震,6弱
official_export_001:12,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城清水門,5.722,都心西部直下地震,6弱
official_export_001:13,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,6.02,都心西部直下地震,6強以上
official_export_001:14,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,5.712,都心西部直下地震,6弱
official_export_001:34,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城外桜田門,6.001,都心西部直下地震,6強以上
official_export_001:35,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧江戸城田安門,5.721,都心西部直下地震,6弱
official_export_001:63,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,旧近衛師団司令部庁舎,5.76,都心西部直下地震,6弱
official_export_001:80,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,水準原点,5.791,都心西部直下地震,6弱
official_export_001:103,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,東京駅丸ノ内本屋,5.942,都心西部直下地震,6弱
official_export_001:114,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.926,都心西部直下地震,6弱
official_export_001:115,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.926,都心西部直下地震,6弱
official_export_001:116,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.926,都心西部直下地震,6弱
official_export_001:117,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.815,都心西部直下地震,6弱
official_export_001:118,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,日本ハリストス正教会教団,5.815,都心西部直下地震,6弱
official_export_001:130,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,法務省旧本館,5.888,都心西部直下地震,6弱
official_export_001:192,13101,千代田区,National,Designated,有形文化財,建造物,building_direct,明治生命保険相互会社本社本館,6.113,都心西部直下地震,6強以上
official_export_002:81,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,学士会館,5.929,都心西部直下地震,6弱
official_export_002:100,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,カトリック神田教会聖堂,5.868,都心西部直下地震,6弱
official_export_002:116,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社神饌所,5.747,都心西部直下地震,6弱
official_export_002:117,13101,千代田区,National,Registered,有形文化財,建造物,building_direct,神田神社西門,5.747,都心西部直下地震,6弱
