municipality_code,organization,source_file,status,input_rows,normalized_rows,municipal,prefectural,national,ambiguous,error
13102,中央区,13Tokyo/raw/municipal/13102/data.csv,normalized,110,110,7,0,0,103,
13104,新宿区,13Tokyo/raw/municipal/13104/data.csv,normalized,232,232,0,0,0,232,
13106,台東区,13Tokyo/raw/municipal/13106/data.csv,normalized,190,190,19,0,0,171,
13107,墨田区,13Tokyo/raw/municipal/13107/data.csv,normalized,171,171,0,0,0,171,
13108,江東区,13Tokyo/raw/municipal/13108/data.csv,normalized,1059,1059,1038,15,6,0,
13114,中野区,13Tokyo/raw/municipal/13114/data.csv,normalized,130,130,121,3,6,0,
13115,杉並区,13Tokyo/raw/municipal/13115/data.csv,normalized,153,153,0,0,0,153,
13116,豊島区,13Tokyo/raw/municipal/13116/data.json,normalized,409,409,376,15,18,0,
13118,荒川区,13Tokyo/raw/municipal/13118/data.csv,normalized,261,261,0,0,0,261,
13119,板橋区,13Tokyo/raw/municipal/13119/data.json,normalized,64,64,0,0,0,64,
13120,練馬区,13Tokyo/raw/municipal/13120/data.csv,normalized,223,223,0,0,0,223,
13122,葛飾区,13Tokyo/raw/municipal/13122/data.csv,normalized,216,216,0,0,4,212,
13123,江戸川区,13Tokyo/raw/municipal/13123/data.csv,normalized,243,243,0,0,0,243,
13208,調布市,13Tokyo/raw/municipal/13208/data.json,normalized,82,82,63,4,15,0,
13210,小金井市,13Tokyo/raw/municipal/13210/data.csv,normalized,54,54,0,0,3,51,
13211,小平市,13Tokyo/raw/municipal/13211/data.csv,normalized,25,25,0,0,0,25,
13213,東村山市,13Tokyo/raw/municipal/13213/data.json,normalized,42,42,0,0,1,41,
13214,国分寺市,13Tokyo/raw/municipal/13214/data.json,normalized,43,43,32,4,7,0,
13215,国立市,13Tokyo/raw/municipal/13215/data.csv,normalized,122,122,110,4,8,0,
13219,狛江市,13Tokyo/raw/municipal/13219/data.json,normalized,23,23,23,0,0,0,
13220,東大和市,13Tokyo/raw/municipal/13220/data.json,normalized,40,40,0,0,14,26,
13222,東久留米市,13Tokyo/raw/municipal/13222/data.csv,normalized,87,87,0,0,7,80,
13228,あきる野市,13Tokyo/raw/municipal/13228/data.csv,normalized,155,155,110,34,10,1,
