source_scope,municipality_code,source_authority,source_field,raw_value,count
municipal,13102,中央区,文化財分類,区指定文化財,7
municipal,13102,中央区,文化財分類,区民有形文化財,69
municipal,13102,中央区,文化財分類,区民有形文化財;指定文化財,6
municipal,13102,中央区,文化財分類,区民無形民俗文化財,1
municipal,13102,中央区,文化財分類,区民有形民俗文化財,20
municipal,13102,中央区,文化財分類,区民史跡,7
municipal,13102,中央区,種類,建造物,19
municipal,13102,中央区,種類,古文書,2
municipal,13102,中央区,種類,考古資料,9
municipal,13102,中央区,種類,絵画・彫刻・工芸品,15
municipal,13102,中央区,種類,古文書・古記録,16
municipal,13102,中央区,種類,考古資料及び古文書,1
municipal,13102,中央区,種類,歴史資料,18
municipal,13104,新宿区,カテゴリ,指定有形文化財,59
municipal,13104,新宿区,カテゴリ,登録有形文化財,33
municipal,13104,新宿区,カテゴリ,指定無形文化財,1
municipal,13104,新宿区,カテゴリ,指定有形民俗文化財,19
municipal,13104,新宿区,カテゴリ,登録有形民俗文化財,8
municipal,13104,新宿区,カテゴリ,指定無形民俗文化財,6
municipal,13104,新宿区,カテゴリ,登録無形民俗文化財,2
municipal,13104,新宿区,カテゴリ,指定史跡,44
municipal,13104,新宿区,カテゴリ,登録史跡,11
municipal,13104,新宿区,カテゴリ,指定天然記念物,2
municipal,13104,新宿区,カテゴリ,地域文化財,47
municipal,13104,新宿区,ジャンル,建造物,10
municipal,13104,新宿区,ジャンル,彫刻,17
municipal,13104,新宿区,ジャンル,工芸品,18
municipal,13104,新宿区,ジャンル,絵画,16
municipal,13104,新宿区,ジャンル,歴史資料,17
municipal,13104,新宿区,ジャンル,考古資料,5
municipal,13104,新宿区,ジャンル,古文書,5
municipal,13104,新宿区,ジャンル,古記録,1
municipal,13104,新宿区,ジャンル,古文書・古記録,3
municipal,13104,新宿区,ジャンル,工芸技術,1
municipal,13104,新宿区,ジャンル,民俗資料,27
municipal,13104,新宿区,ジャンル,風俗慣習,4
municipal,13104,新宿区,ジャンル,民俗芸能,4
municipal,13104,新宿区,ジャンル,都市・産業、文化・芸術,3
municipal,13104,新宿区,ジャンル,都市・産業、歴史,6
municipal,13104,新宿区,ジャンル,都市・産業,4
municipal,13104,新宿区,ジャンル,歴史,8
municipal,13104,新宿区,ジャンル,生活,2
municipal,13104,新宿区,ジャンル,自然,1
municipal,13104,新宿区,ジャンル,文化・芸術,3
municipal,13104,新宿区,ジャンル,平和,6
municipal,13104,新宿区,ジャンル,都市・産業、生活,1
municipal,13104,新宿区,ジャンル,文化・芸術、歴史,2
municipal,13104,新宿区,ジャンル,文化・芸術、都市・産業,1
municipal,13104,新宿区,ジャンル,都市・産業、文化・芸術、歴史,1
municipal,13104,新宿区,ジャンル,歴史、生活,7
municipal,13104,新宿区,ジャンル,歴史、自然,2
municipal,13106,台東区,文化財分類,区指定文化財,19
municipal,13106,台東区,文化財分類,区民文化財,171
municipal,13106,台東区,種類,美術工芸品,159
municipal,13106,台東区,種類,有形民俗文化財,17
municipal,13106,台東区,種類,史跡,11
municipal,13106,台東区,種類,建造物,3
municipal,13107,墨田区,文化財分類,有形文化財（建造物）,14
municipal,13107,墨田区,文化財分類,有形文化財（絵画・典籍）,1
municipal,13107,墨田区,文化財分類,有形文化財（絵画・歴史資料）,2
municipal,13107,墨田区,文化財分類,有形文化財（絵画）,19
municipal,13107,墨田区,文化財分類,有形文化財（彫刻）,11
municipal,13107,墨田区,文化財分類,有形文化財（工芸品）,4
municipal,13107,墨田区,文化財分類,有形文化財（古文書）,6
municipal,13107,墨田区,文化財分類,有形文化財（書跡）,1
municipal,13107,墨田区,文化財分類,有形文化財（歴史資料・書跡）,2
