municipality_code,name,owner,category,designation_status_code,designation_status_ja,previously_registered,registration_year_raw,designation_year_raw,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,confidence,join_note
13118,養福寺仁王門,養福寺,有形文化財（建造物）,designated,指定,1,昭58,昭63,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,経王寺山門 付門番所,経王寺,有形文化財（建造物）,designated,指定,1,昭58,平20,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,諏方神社鳥居,諏方神社,有形文化財（建造物）,registered,登録,0,昭58,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,石浜神社鳥居（寛延二年八月哉生明銘）,石浜神社,有形文化財（建造物）,designated,指定,1,昭58,平26,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,石浜神社鳥居（安永八年六月十六日銘）,石浜神社,有形文化財（建造物）,designated,指定,1,昭58,令元,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,胡録神社本殿,胡録神社,有形文化財（建造物）,registered,登録,0,平5,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,浄閑寺表門,浄閑寺,有形文化財（建造物）,registered,登録,0,平14,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,旧三河島汚水処分場喞筒場施設,東京都,有形文化財（建造物）,registered,登録,0,平14,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,日枝神社本殿,素盞雄神社,有形文化財（建造物）,registered,登録,0,平15,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,麁香神社社殿,石浜神社,有形文化財（建造物）,registered,登録,0,平21,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,本行寺山門 付門番所及び築地塀,本行寺,有形文化財（建造物）,registered,登録,0,平22,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,荒川遊園煉瓦塀,荒川区,有形文化財（建造物）,registered,登録,0,平30,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,旧千住製絨所煉瓦塀,東京都,有形文化財（建造物）,registered,登録,0,令3,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,石浜神社本殿,石浜神社,有形文化財（建造物）,registered,登録,0,令3,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,木造七面明神立像宮殿,延命院,有形文化財（建造物）,registered,登録,0,令5,,tangible,有形文化財,建造物,high,exact raw row: 名称+所有者等+文化財分類
13118,紙本着色仏涅槃図,公春院,有形文化財（絵画）,registered,登録,0,昭59,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,紙本着色山越阿弥陀図,満光寺,有形文化財（絵画）,registered,登録,0,昭59,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,紙本着色善導・円光両大師画像,大聖寺,有形文化財（絵画）,registered,登録,0,昭59,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,絹本着色真言八祖画像,観音寺,有形文化財（絵画）,registered,登録,0,昭61,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,紙本着色仏涅槃図,本行寺,有形文化財（絵画）,registered,登録,0,昭62,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,絹本着色虚無僧像,地蔵寺,有形文化財（絵画）,registered,登録,0,平13,,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,絹本着色献上鶴図,個人蔵,有形文化財（絵画）,designated,指定,1,平13,平14,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
13118,板本着色平経正竹生島詣図絵馬,延命院,有形文化財（絵画）,designated,指定,1,平28,平29,tangible,有形文化財,絵画,high,exact raw row: 名称+所有者等+文化財分類
